"srcip_private","srcip_public","srcip_default","dstip_private","dstip_public","dstip_default","sport_zero","sport_multiplex","sport_echo","sport_discard","sport_daytime","sport_quote","sport_chargen","sport_ftp_data","sport_ftp_control","sport_ssh","sport_telnet","sport_smtp","sport_dns","sport_bootp","sport_gopher","sport_finger","sport_http","sport_kerberos","sport_pop3","sport_nntp","sport_ntp","sport_netbios","sport_imap4","sport_snmp","sport_ldap","sport_https","sport_mds","sport_kpasswd","sport_smtp_ssl","sport_syslog","sport_smtp2","sport_ldaps","sport_cups","sport_imap4_ssl","sport_socks","sport_openvpn","sport_mssql","sport_citrix","sport_oracle","sport_rapservice","sport_msnmessenger","sport_mgc","sport_mysql","sport_metasploit","sport_emule","sport_xmpp","sport_irc","sport_bittorrent","sport_http2","sport_reserved","sport_register","sport_private","dport_zero","dport_multiplex","dport_echo","dport_discard","dport_daytime","dport_quote","dport_chargen","dport_ftp_data","dport_ftp_control","dport_ssh","dport_telnet","dport_smtp","dport_dns","dport_bootp","dport_gopher","dport_finger","dport_http","dport_kerberos","dport_pop3","dport_nntp","dport_ntp","dport_netbios","dport_imap4","dport_snmp","dport_ldap","dport_https","dport_mds","dport_kpasswd","dport_smtp_ssl","dport_syslog","dport_smtp2","dport_ldaps","dport_cups","dport_imap4_ssl","dport_socks","dport_openvpn","dport_mssql","dport_citrix","dport_oracle","dport_rapservice","dport_msnmessenger","dport_mgc","dport_mysql","dport_metasploit","dport_emule","dport_xmpp","dport_irc","dport_bittorrent","dport_http2","dport_reserved","dport_register","dport_private","protocol_tcp","protocol_udp","protocol_icmp","protocol_igmp","protocol_other","tcpflags_URG","tcpflags_ACK","tcpflags_PSH","tcpflags_RST","tcpflags_SYN","tcpflags_FIN","srctos_zero","srctos_192","srctos_other","npackets_verylow","npackets_low","npackets_medium","npackets_high","npackets_veryhigh","nbytes_verylow","nbytes_low","nbytes_medium","nbytes_high","nbytes_veryhigh","label_background","label_analysis","label_backdoor","label_dos","label_exploit","label_fuzzer","label_generic","label_reconnaissance","label_shellcode","label_worm","label_attack","outcome"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,105,148,1,0,0,0,0,254,0,0,0,0,0,243,0,0,0,0,113,141,0,0,0,11,231,12,0,253,0,0,0,1,0,0,0,0,0,1,"label_exploit"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,65,4,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,28,223,3,0,0,0,0,254,0,0,0,0,0,239,0,0,0,1,29,212,12,0,2,14,188,50,0,251,0,0,0,1,0,0,2,0,0,3,"label_reconnaissance"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,53,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,37,209,8,0,0,0,0,254,0,0,0,0,0,238,0,0,0,2,21,217,13,1,0,16,169,68,1,252,0,0,0,0,0,0,2,0,0,2,"label_reconnaissance"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,81,0,0,0,0,0,0,0,0,5,4,0,9,13,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,47,187,20,0,0,0,0,254,0,0,0,0,0,234,0,0,0,0,34,184,36,0,0,20,139,94,1,251,0,0,0,3,0,0,0,0,0,3,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,50,0,0,0,0,0,0,0,0,5,7,0,8,29,0,0,0,16,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,79,156,19,0,0,0,0,254,0,0,0,0,0,219,0,0,0,0,62,144,48,0,0,36,105,113,0,249,0,0,0,4,0,0,1,0,0,5,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,74,0,0,0,0,0,0,0,0,3,13,0,18,30,0,0,0,27,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,105,131,18,0,0,0,0,254,0,0,0,0,0,222,0,0,0,2,68,146,37,1,0,33,132,87,2,248,0,0,1,2,0,1,2,0,0,6,"label_exploit"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,193,59,2,0,0,0,0,0,0,0,10,11,0,9,38,0,0,0,22,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,103,137,14,0,0,0,0,254,0,0,0,0,0,206,0,0,0,2,76,134,40,2,1,48,124,77,4,247,0,0,1,4,0,0,0,2,0,7,"label_exploit"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,55,4,0,0,0,0,0,0,0,11,11,0,17,50,0,0,0,21,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,132,95,27,0,0,0,0,254,0,0,0,0,0,177,0,0,0,4,115,77,42,16,4,74,78,82,16,244,0,0,0,7,0,0,2,1,0,10,"label_exploit"
4,250,0,0,250,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,180,70,4,0,0,0,0,0,0,0,12,13,0,12,40,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,123,100,31,0,0,0,0,254,0,0,0,0,0,182,0,0,0,4,104,82,57,7,0,73,76,98,7,242,0,0,0,5,0,2,4,1,0,12,"label_exploit"
2,252,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,50,0,0,0,0,0,0,0,0,11,4,0,8,40,0,0,0,28,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,106,105,43,0,0,0,0,254,0,0,0,0,0,197,0,0,0,1,90,102,61,0,0,55,89,98,12,244,0,0,1,7,0,1,1,0,0,10,"label_exploit"
