srcip_private,srcip_public,srcip_default,dstip_private,dstip_public,dstip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chargen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp2,sport_ldaps,sport_cups,sport_imap4_ssl,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_irc,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chargen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp2,dport_ldaps,dport_cups,dport_imap4_ssl,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_irc,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_tcp,protocol_udp,protocol_icmp,protocol_igmp,protocol_other,tcpflags_URG,tcpflags_ACK,tcpflags_PSH,tcpflags_RST,tcpflags_SYN,tcpflags_FIN,srctos_zero,srctos_192,srctos_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,label_background,label_analysis,label_backdoor,label_dos,label_exploit,label_fuzzer,label_generic,label_reconnaissance,label_shellcode,label_worm,label_attack
12.0,0.0,0.0,4.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,3522.0,0.0,24.0,3522.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2622.0,902.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,62.0,0.0,80.0,516.0,0.0,0.0,0.0,392.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,2.0,1260.0,2152.0,140.0,0.0,0.0,0.0,0.0,3554.0,0.0,0.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,26.0,1098.0,2064.0,326.0,40.0,12.0,676.0,1964.0,854.0,48.0,3454.0,0.0,0.0,8.0,60.0,0.0,6.0,26.0,0.0,0.0,100.0
32.0,2924.0,0.0,24.0,2924.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2264.0,662.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,90.0,2.0,132.0,544.0,0.0,0.0,0.0,306.0,0.0,18.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,1404.0,1254.0,296.0,0.0,0.0,0.0,0.0,2956.0,0.0,0.0,0.0,0.0,0.0,2144.0,0.0,0.0,0.0,34.0,1132.0,1202.0,560.0,28.0,18.0,802.0,958.0,1096.0,82.0,2830.0,0.0,0.0,8.0,74.0,0.0,8.0,26.0,10.0,0.0,126.0
28.0,2706.0,0.0,20.0,2706.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,2040.0,664.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,94.0,0.0,96.0,434.0,0.0,0.0,0.0,328.0,0.0,10.0,2.0,0.0,0.0,42.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,2.0,1242.0,1198.0,294.0,0.0,0.0,0.0,0.0,2734.0,0.0,0.0,0.0,48.0,0.0,1984.0,0.0,0.0,0.0,26.0,990.0,1068.0,632.0,18.0,14.0,754.0,780.0,1030.0,156.0,2604.0,0.0,0.0,16.0,72.0,0.0,12.0,24.0,6.0,0.0,130.0
32.0,2700.0,0.0,24.0,2700.0,8.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1968.0,716.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,120.0,0.0,122.0,448.0,0.0,0.0,0.0,336.0,0.0,8.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,2.0,1344.0,1102.0,284.0,0.0,0.0,0.0,0.0,2732.0,0.0,0.0,0.0,72.0,0.0,1926.0,0.0,0.0,0.0,30.0,1034.0,1094.0,552.0,22.0,12.0,782.0,876.0,902.0,160.0,2570.0,0.0,0.0,12.0,104.0,4.0,6.0,32.0,4.0,0.0,162.0
28.0,2762.0,0.0,20.0,2762.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1984.0,756.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,170.0,0.0,116.0,422.0,0.0,0.0,0.0,330.0,0.0,12.0,0.0,0.0,0.0,74.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,144.0,0.0,1458.0,1126.0,204.0,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,0.0,0.0,0.0,2104.0,0.0,0.0,0.0,24.0,1054.0,1212.0,492.0,8.0,14.0,778.0,1026.0,878.0,94.0,2452.0,0.0,0.0,10.0,96.0,190.0,10.0,26.0,4.0,2.0,338.0
32.0,2670.0,0.0,24.0,2670.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1990.0,682.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,182.0,0.0,128.0,428.0,0.0,0.0,0.0,232.0,0.0,12.0,0.0,0.0,0.0,64.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,2.0,1366.0,1160.0,174.0,0.0,0.0,0.0,0.0,2702.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,60.0,954.0,1154.0,506.0,28.0,16.0,734.0,976.0,816.0,160.0,2496.0,0.0,0.0,12.0,66.0,88.0,10.0,30.0,0.0,0.0,206.0
32.0,2780.0,0.0,24.0,2780.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2046.0,734.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,170.0,0.0,124.0,458.0,0.0,0.0,0.0,282.0,0.0,6.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,4.0,1546.0,1104.0,160.0,0.0,0.0,0.0,0.0,2812.0,0.0,0.0,0.0,0.0,0.0,2088.0,0.0,0.0,0.0,36.0,1148.0,1180.0,428.0,20.0,18.0,904.0,926.0,858.0,106.0,2494.0,0.0,0.0,4.0,54.0,202.0,12.0,38.0,6.0,2.0,318.0
32.0,2838.0,0.0,24.0,2838.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2128.0,712.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,138.0,2.0,94.0,456.0,0.0,0.0,0.0,314.0,0.0,12.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,1548.0,1096.0,224.0,0.0,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,2180.0,0.0,0.0,0.0,20.0,1118.0,1220.0,468.0,44.0,18.0,778.0,1080.0,842.0,152.0,2600.0,0.0,0.0,6.0,78.0,148.0,14.0,22.0,0.0,2.0,270.0
28.0,2904.0,0.0,20.0,2904.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,2186.0,720.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,180.0,0.0,100.0,424.0,0.0,0.0,0.0,246.0,0.0,2.0,0.0,0.0,2.0,54.0,2.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228.0,2.0,1512.0,1186.0,232.0,0.0,0.0,0.0,0.0,2932.0,0.0,0.0,0.0,0.0,0.0,2254.0,0.0,0.0,0.0,30.0,1114.0,1338.0,420.0,30.0,12.0,676.0,1374.0,792.0,78.0,2626.0,0.0,0.0,10.0,60.0,192.0,4.0,32.0,8.0,0.0,306.0
