"srcip_private","srcip_public","srcip_default","dstip_private","dstip_public","dstip_default","sport_zero","sport_multiplex","sport_echo","sport_discard","sport_daytime","sport_quote","sport_chargen","sport_ftp_data","sport_ftp_control","sport_ssh","sport_telnet","sport_smtp","sport_dns","sport_bootp","sport_gopher","sport_finger","sport_http","sport_kerberos","sport_pop3","sport_nntp","sport_ntp","sport_netbios","sport_imap4","sport_snmp","sport_ldap","sport_https","sport_mds","sport_kpasswd","sport_smtp_ssl","sport_syslog","sport_smtp2","sport_ldaps","sport_cups","sport_imap4_ssl","sport_socks","sport_openvpn","sport_mssql","sport_citrix","sport_oracle","sport_rapservice","sport_msnmessenger","sport_mgc","sport_mysql","sport_metasploit","sport_emule","sport_xmpp","sport_irc","sport_bittorrent","sport_http2","sport_reserved","sport_register","sport_private","dport_zero","dport_multiplex","dport_echo","dport_discard","dport_daytime","dport_quote","dport_chargen","dport_ftp_data","dport_ftp_control","dport_ssh","dport_telnet","dport_smtp","dport_dns","dport_bootp","dport_gopher","dport_finger","dport_http","dport_kerberos","dport_pop3","dport_nntp","dport_ntp","dport_netbios","dport_imap4","dport_snmp","dport_ldap","dport_https","dport_mds","dport_kpasswd","dport_smtp_ssl","dport_syslog","dport_smtp2","dport_ldaps","dport_cups","dport_imap4_ssl","dport_socks","dport_openvpn","dport_mssql","dport_citrix","dport_oracle","dport_rapservice","dport_msnmessenger","dport_mgc","dport_mysql","dport_metasploit","dport_emule","dport_xmpp","dport_irc","dport_bittorrent","dport_http2","dport_reserved","dport_register","dport_private","protocol_tcp","protocol_udp","protocol_icmp","protocol_igmp","protocol_other","tcpflags_URG","tcpflags_ACK","tcpflags_PSH","tcpflags_RST","tcpflags_SYN","tcpflags_FIN","srctos_zero","srctos_192","srctos_other","npackets_verylow","npackets_low","npackets_medium","npackets_high","npackets_veryhigh","nbytes_verylow","nbytes_low","nbytes_medium","nbytes_high","nbytes_veryhigh","outcome"
12,0,0,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,4,0,0,"background"
32,3522,0,24,3522,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2622,902,28,0,0,0,0,0,0,0,48,62,0,80,516,0,0,0,392,0,2,0,0,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,2,1260,2152,140,0,0,0,0,3554,0,0,0,0,0,2872,0,0,0,26,1098,2064,326,40,12,676,1964,854,48,"exploit"
32,2924,0,24,2924,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2264,662,28,0,0,0,0,0,0,0,86,90,2,132,544,0,0,0,306,0,18,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,288,0,1404,1254,296,0,0,0,0,2956,0,0,0,0,0,2144,0,0,0,34,1132,1202,560,28,18,802,958,1096,82,"exploit"
28,2706,0,20,2706,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,2040,664,28,0,0,0,0,0,0,0,68,94,0,96,434,0,0,0,328,0,10,2,0,0,42,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,2,1242,1198,294,0,0,0,0,2734,0,0,0,48,0,1984,0,0,0,26,990,1068,632,18,14,754,780,1030,156,"exploit"
32,2700,0,24,2700,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1968,716,44,0,0,0,0,0,0,0,76,120,0,122,448,0,0,0,336,0,8,2,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2,1344,1102,284,0,0,0,0,2732,0,0,0,72,0,1926,0,0,0,30,1034,1094,552,22,12,782,876,902,160,"exploit"
28,2762,0,20,2762,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,1984,756,48,0,0,0,0,0,0,0,78,170,0,116,422,0,0,0,330,0,12,0,0,0,74,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,144,0,1458,1126,204,0,0,0,0,2790,0,0,0,0,0,2104,0,0,0,24,1054,1212,492,8,14,778,1026,878,94,"fuzzer"
32,2670,0,24,2670,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1990,682,28,0,0,0,0,0,0,0,62,182,0,128,428,0,0,0,232,0,12,0,0,0,64,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,194,2,1366,1160,174,0,0,0,0,2702,0,0,0,0,0,2000,0,0,0,60,954,1154,506,28,16,734,976,816,160,"fuzzer"
32,2780,0,24,2780,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,2046,734,28,0,0,0,0,0,0,0,48,170,0,124,458,0,0,0,282,0,6,0,0,0,64,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,4,1546,1104,160,0,0,0,0,2812,0,0,0,0,0,2088,0,0,0,36,1148,1180,428,20,18,904,926,858,106,"fuzzer"
32,2838,0,24,2838,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2128,712,28,0,0,0,0,0,0,0,66,138,2,94,456,0,0,0,314,0,12,0,0,0,50,0,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1548,1096,224,0,0,0,0,2870,0,0,0,0,0,2180,0,0,0,20,1118,1220,468,44,18,778,1080,842,152,"fuzzer"
28,2904,0,20,2904,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,2186,720,24,0,0,0,0,0,0,0,78,180,0,100,424,0,0,0,246,0,2,0,0,2,54,2,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,228,2,1512,1186,232,0,0,0,0,2932,0,0,0,0,0,2254,0,0,0,30,1114,1338,420,30,12,676,1374,792,78,"fuzzer"
32,3500,0,24,3500,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2638,864,28,0,0,0,0,0,0,0,140,178,0,110,502,0,0,0,332,0,8,0,0,2,72,0,4,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,1730,1556,244,0,0,0,0,3532,0,0,0,0,0,2798,0,0,0,18,1226,1688,594,6,16,732,1820,844,120,"fuzzer"
