,Rep.,Kfold,Num. Vars.,Precision-Background,Recall-Background,F1_score_Background,Num. Obs. Background,AUC_Background,Precision-DoS,Recall-DoS,F1_score_DoS,Num. Obs. Dos,AUC_DoS,Precision-Botnet,Recall-Botnet,F1_score_Botnet,Num. Obs. Botnet,AUC_Botnet,Precision-Scan,Recall-Scan,F1_score_Scan,Num. Obs. Scan,AUC_Scan,Precision-SSHscan,Recall-SSHscan,F1_score_SSHscan,Num. Obs. SSHscan,AUC_SSHscan,Precision-UDPscan,Recall-UDPscan,F1_score_UDPscan,Num. Obs. UDPscan,AUC_UDPscan,Precision-Spam,Recall-Spam,F1_score_Spam,Num. Obs. Spam,AUC_Spam,Precision-w,Recall-w,F1_score_w,Total Obs.,AUC_w,Time
2,5,86,0.6365054602184087,1.0,0.7778836987607244,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.40513920088784827,0.6365054602184087,0.4951272216760929,37819,0.5,1 day, 18:19:22.980316
16,5,76,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 13:33:59.833068
4,4,82,0.6365559551512587,1.0,0.7779214064115823,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12767,0.5,0.40520348403853135,0.6365559551512587,0.4951905038909352,37816,0.5,1 day, 16:28:04.823521
13,5,83,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37819,1.0,1 day, 17:37:10.755214
9,4,87,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,476,1.0,1.0,1.0,1.0,140,1.0,1.0,0.9545454545454546,0.9767441860465116,22,0.9772727272727272,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12769,1.0,1.0,0.9999735589635114,0.999986472027843,37820,0.9999867794817556,1 day, 19:05:37.882054
12,2,85,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,476,1.0,1.0,1.0,1.0,141,1.0,1.0,0.9523809523809524,0.975609756097561,21,0.9761904761904762,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12767,1.0,1.0,0.9999735582643644,0.9999864566719916,37819,0.9999867791321824,1 day, 18:50:55.928840
7,5,83,0.6365487334073722,1.0,0.7779160136368778,24073,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12767,0.5,0.40519429000252977,0.6365487334073722,0.4951814531778666,37818,0.5,1 day, 18:13:59.347923
4,1,89,0.6365054602184087,1.0,0.7778836987607244,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.40513920088784827,0.6365054602184087,0.4951272216760929,37819,0.5,1 day, 19:25:01.138068
10,3,84,0.6365126794827723,1.0,0.7778890899689762,24071,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12769,0.5,0.4051483911423384,0.6365126794827723,0.4951362689965683,37817,0.5,1 day, 16:59:59.798536
13,4,84,0.6364525767471377,1.0,0.7778442049475675,24070,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12769,0.5,0.4050718824480712,0.6364525767471377,0.495060948546708,37819,0.5,1 day, 18:10:51.934271
3,2,82,0.6364814129342711,1.0,0.7778657403667502,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12769,0.5,0.4051085890108061,0.6364814129342711,0.495097085501792,37822,0.5,1 day, 16:59:18.843906
12,5,86,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37819,1.0,1 day, 19:13:59.925612
2,2,86,0.6365319019540443,1.0,0.7779034447101403,24073,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051728622052331,0.6365319019540443,0.4951603591979483,37819,0.5,1 day, 18:21:25.912509
2,4,87,0.6365054602184087,1.0,0.7778836987607244,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.40513920088784827,0.6365054602184087,0.4951272216760929,37819,0.5,1 day, 19:18:13.842553
14,2,91,0.6365198995107761,1.0,0.7778944816999273,24070,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051575824732085,0.6365198995107761,0.495145317321625,37815,0.5,1 day, 19:56:10.386362
9,1,79,0.6365391226168126,1.0,0.7779088367884438,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12767,0.5,0.4051820546217815,0.6365391226168126,0.4951694084451813,37817,0.5,1 day, 15:59:23.987610
12,1,84,0.6364790184827732,1.0,0.7778639521732106,24071,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051055409687944,0.6364790184827732,0.4950940847923359,37819,0.5,1 day, 17:26:21.480801
20,1,82,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37819,1.0,1 day, 18:20:31.150681
2,1,85,0.6365295113179607,1.0,0.7779016594761421,24071,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12767,0.5,0.4051698187786818,0.6365295113179607,0.4951573631597793,37816,0.5,1 day, 17:40:56.968027
4,2,83,0.6365222909725528,1.0,0.7778962675714978,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051606269049471,0.6365222909725528,0.4951483143736077,37818,0.5,1 day, 16:42:41.454823
