"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.685,0.909,0.591,0.592,0.591,0.917703349282297,NA,NA,NA
1,2,0.558,0.668,0.511,0.511,0.511,0.917703349282297,NA,NA,NA
1,3,0.766,0.979,0.693,0.694,0.694,0.917264466762315,NA,NA,NA
1,4,0.661,0.754,0.651,0.649,0.651,0.917264466762315,NA,NA,NA
1,5,0.638,NA,0.638,0.637,NA,0.917185256103399,0.5,0.459032103497844,0.459051724137931
2,1,0.653,NA,0.653,0.653,NA,0.918142651986597,NA,NA,NA
2,2,0.618,0.743,0.582,0.58,0.582,0.917703349282297,NA,NA,NA
2,3,0.773,1,0.677,0.675,0.677,0.917264466762315,NA,NA,NA
2,4,0.691,0.916,0.604,0.602,0.604,0.917224880382775,0.499760651029201,0.458831977022499,NA
2,5,0.582,0.435,0.654,0.646,0.653,0.917264466762315,0.499760765550239,0.958851674641148,NA
3,1,0.615,NA,0.614,0.615,NA,0.917703349282297,NA,NA,NA
3,2,0.61,0.807,0.532,0.53,0.532,0.917703349282297,NA,NA,NA
3,3,0.695,0.908,0.615,0.61,0.615,0.917224880382775,0.499760536398467,0.709051724137931,NA
3,4,0.54,0.607,0.515,0.515,0.515,0.917703349282297,NA,NA,NA
3,5,0.657,0.944,0.521,0.519,0.521,0.917264466762315,NA,NA,NA
4,1,0.477,0.208,0.629,0.629,0.628,0.917224880382775,0.499760651029201,0.62569877016451,0.709291187739464
4,2,0.592,NA,0.592,0.592,NA,0.917703349282297,NA,NA,NA
4,3,0.692,0.899,0.613,0.615,0.614,0.917264466762315,NA,NA,NA
4,4,0.674,0.946,0.57,0.569,0.57,0.917703349282297,NA,NA,NA
4,5,0.717,0.995,0.663,0.661,0.663,0.917703349282297,NA,NA,NA
5,1,0.554,0.619,0.531,0.531,0.531,0.915351506456241,0.499760765550239,0.458552946813608,0.458812260536398
5,2,0.606,0.797,0.504,0.502,0.504,0.917703349282297,NA,NA,NA
5,3,0.75,0.999,0.658,0.656,0.658,0.915829746532759,0.499760765550239,0.458572796934866,0.458831977022499
5,4,0.522,NA,0.523,0.521,NA,0.918142651986597,NA,NA,NA
5,5,0.658,0.978,0.501,0.493,0.501,0.917703349282297,NA,NA,NA
6,1,0.676,0.997,0.521,0.521,0.521,0.917703349282297,NA,NA,NA
6,2,0.642,NA,0.641,0.643,NA,0.917224880382775,0.5,0.458831977022499,NA
6,3,0.546,0.45,0.628,0.625,0.627,0.917703349282297,NA,NA,NA
6,4,0.643,0.939,0.49,0.488,0.49,0.917264466762315,NA,NA,NA
6,5,0.557,0.614,0.531,0.538,0.532,0.917224880382775,0.499760651029201,0.458831977022499,NA
7,1,0.671,0.977,0.51,0.508,0.51,0.917703349282297,NA,NA,NA
7,2,0.489,0.254,0.641,0.638,0.641,0.916786226685796,NA,0.458612440191388,0.458851674641148
