"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.646,0.855,0.564,0.561,0.564,0.917703349282297,NA,NA,NA
3,2,0.43,0.282,0.52,0.513,0.52,0.917703349282297,NA,NA,NA
1,2,0.551,0.672,0.498,0.497,0.498,0.917703349282297,NA,NA,NA
4,4,0.582,0.766,0.505,0.505,0.505,0.917703349282297,NA,NA,NA
19,4,0.509,NA,0.509,0.509,NA,0.917703349282297,NA,NA,NA
19,1,0.326,0.014,0.465,0.461,0.464,0.917703349282297,NA,NA,NA
8,4,0.595,0.799,0.495,0.495,0.495,0.917703349282297,NA,NA,NA
5,5,0.481,0.459,0.499,0.483,0.498,0.917703349282297,NA,NA,NA
20,1,0.454,0.389,0.491,0.491,0.491,0.917264466762315,NA,NA,NA
6,1,0.589,0.787,0.509,0.507,0.509,0.917703349282297,NA,NA,NA
10,2,0.349,0.013,0.522,0.516,0.522,0.917703349282297,NA,NA,NA
8,2,0.507,NA,0.51,0.504,NA,0.918142651986597,NA,NA,NA
7,1,0.569,0.749,0.49,0.485,0.49,0.917703349282297,NA,NA,NA
7,3,0.489,NA,0.487,0.49,NA,0.918142651986597,NA,NA,NA
11,1,0.552,0.671,0.472,0.473,0.472,0.917703349282297,NA,NA,NA
3,4,0.571,0.714,0.519,0.521,0.519,0.917224880382775,NA,0.458831977022499,0.459071325993298
5,2,0.339,0.047,0.473,0.473,0.472,0.917703349282297,NA,NA,NA
6,4,0.548,0.687,0.462,0.466,0.463,0.917264466762315,NA,NA,NA
16,5,0.552,0.728,0.467,0.468,0.468,0.917703349282297,NA,NA,NA
12,4,0.555,0.657,0.55,0.547,0.55,0.917703349282297,NA,NA,NA
20,4,0.457,0.405,0.48,0.477,0.48,0.916786226685796,NA,0.458612440191388,0.458851674641148
4,2,0.568,NA,0.568,0.569,NA,0.917703349282297,NA,NA,NA
13,2,0.581,0.787,0.471,0.469,0.471,0.917264466762315,NA,NA,NA
13,5,0.519,0.55,0.511,0.504,0.51,0.917703349282297,NA,NA,NA
11,5,0.496,0.504,0.485,0.488,0.486,0.917264466762315,NA,NA,NA
10,5,0.526,0.576,0.49,0.495,0.491,0.917703349282297,NA,NA,NA
11,3,0.497,NA,0.497,0.497,NA,0.918142651986597,NA,NA,NA
2,3,0.619,0.749,0.629,0.626,0.629,0.916307986609278,NA,0.458592628051699,0.458831977022499
17,3,0.487,0.583,0.461,0.45,0.46,0.917703349282297,NA,NA,NA
10,4,0.513,NA,0.518,0.509,NA,0.917703349282297,NA,NA,NA
9,1,0.611,0.818,0.515,0.508,0.514,0.917264466762315,NA,NA,NA
5,1,0.657,0.951,0.507,0.506,0.507,0.916786226685796,NA,0.458612440191388,0.458851674641148
20,3,0.392,0.15,0.537,0.537,0.537,0.917703349282297,NA,NA,NA
2,2,0.407,0.195,0.515,0.51,0.514,0.917224880382775,NA,0.458831977022499,0.459071325993298
19,5,0.616,0.821,0.543,0.54,0.543,0.917703349282297,NA,NA,NA
2,5,0.701,0.964,0.586,0.585,0.586,0.915829746532759,NA,0.558772770853308,0.559012464046021
1,3,0.721,0.985,0.643,0.641,0.643,0.917264466762315,NA,0.709032103497844,0.709271681839962
10,1,0.502,0.489,0.499,0.494,0.498,0.917264466762315,NA,NA,NA
15,5,0.481,0.462,0.476,0.48,0.476,0.917703349282297,NA,NA,NA
3,5,0.489,0.482,0.505,0.504,0.505,0.917264466762315,NA,NA,NA
19,2,0.539,0.454,0.588,0.586,0.588,0.916786226685796,NA,0.458612440191388,0.458851674641148
9,3,0.519,0.541,0.514,0.513,0.514,0.917264466762315,NA,NA,NA
18,5,0.552,0.699,0.478,0.472,0.477,0.917703349282297,NA,NA,NA
1,4,0.708,0.965,0.639,0.636,0.639,0.916786226685796,NA,0.458612440191388,0.458851674641148
1,5,0.569,NA,0.57,0.569,NA,0.917663954044998,NA,0.459051724137931,0.459051724137931
17,2,0.614,0.86,0.505,0.493,0.504,0.917703349282297,NA,NA,NA
3,3,0.65,0.902,0.554,0.551,0.554,0.917703349282297,NA,0.709252157238734,0.709491850431448
9,5,0.442,0.186,0.584,0.58,0.583,0.917224880382775,NA,0.62569877016451,0.625938348506628
2,4,0.667,0.958,0.533,0.533,0.533,0.91578947368421,NA,0.542306461932182,0.54254638515675
17,4,0.511,0.481,0.528,0.525,0.528,0.917264466762315,NA,NA,NA
3,1,0.57,NA,0.57,0.57,NA,0.91578947368421,NA,0.609375,0.609375
16,2,0.576,0.739,0.479,0.469,0.479,0.917264466762315,NA,NA,NA
8,1,0.544,0.656,0.502,0.496,0.502,0.917703349282297,NA,NA,NA
