"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.874,0.998,0.964,0.784,0.97,0.94748631159781,0.989651823193275,0.955964107204894,0.930146055146055
1,2,0.847,0.996,0.957,0.734,0.963,0.944541158915693,0.986889832215516,0.954337147128726,0.900006248437891
1,3,0.904,0.997,0.972,0.838,0.976,0.946766169154229,0.989415703854698,0.955316439089985,0.929908135886125
1,4,0.885,0.997,0.968,0.8,0.972,0.945771144278607,0.988121255004523,0.955184212802295,0.9749000999001
1,5,0.882,0.996,0.967,0.794,0.971,0.945771144278607,0.987810819744134,0.955485618659968,0.945482064921897
2,1,0.884,0.997,0.969,0.794,0.972,0.945287241979607,0.987227248536455,0.955377118757677,0.974550898203593
2,2,0.863,0.997,0.963,0.76,0.968,0.947499377954715,0.989706646202053,0.956380243296517,0.930027065753861
2,3,0.891,0.996,0.97,0.811,0.973,0.945522388059701,0.988178771583662,0.954950349378535,0.922374669490522
2,4,0.88,0.998,0.965,0.796,0.971,0.94849465041055,0.990916050108043,0.956183439085191,0.935838758137206
2,5,0.885,0.997,0.969,0.8,0.972,0.946268656716418,0.988674270742393,0.954486914491048,0.918021262663226
3,1,0.88,0.997,0.965,0.794,0.971,0.946268656716418,0.989147463511351,0.954617834394904,0.95025
3,2,0.851,0.996,0.958,0.741,0.963,0.945757651157004,0.988125917172252,0.954532471851961,0.948934210526316
3,3,0.879,0.997,0.967,0.79,0.971,0.948768962944541,0.990679925200617,0.957832270818381,0.932009483002371
3,4,0.844,0.996,0.957,0.729,0.963,0.945260014929087,0.987333731506713,0.954638389983622,0.903809047380833
3,5,0.854,0.997,0.958,0.752,0.964,0.945024875621891,0.987389049610834,0.955099733505613,0.895933911259027
4,1,0.883,0.997,0.967,0.799,0.971,0.948245832296591,0.990766118848251,0.956031040772708,0.907099645665889
4,2,0.866,0.996,0.963,0.765,0.967,0.944762378701169,0.987071962335423,0.954467545275951,0.919325724124524
4,3,0.879,0.996,0.964,0.795,0.97,0.945535936334245,0.987816958195623,0.954207478914189,0.975143642268299
4,4,0.859,0.997,0.962,0.751,0.967,0.945757651157004,0.987810494791122,0.955548912516563,0.97478152309613
4,5,0.891,0.998,0.97,0.809,0.974,0.946530713752798,0.988652777708695,0.956117808641055,0.925131217195701
5,1,0.849,0.996,0.957,0.74,0.963,0.945024875621891,0.988178771583662,0.954883227176221,0.855821098131676
5,2,0.846,0.996,0.954,0.738,0.961,0.943269470017417,0.985294659094019,0.952561648376278,0.922493421052632
5,3,0.896,0.998,0.97,0.824,0.975,0.94752549117135,0.990443794592018,0.955552567286952,0.915600600600601
5,4,0.848,0.998,0.958,0.735,0.964,0.945287241979607,0.987674680315558,0.955555630093087,0.91595169536346
5,5,0.837,0.996,0.956,0.716,0.961,0.945246391239423,0.987246485579635,0.954775053603058,0.943637556221889
6,1,0.85,0.995,0.955,0.748,0.962,0.943034825870647,0.985817158477773,0.952799899866986,0.838623857383237
6,2,0.878,0.997,0.967,0.786,0.971,0.946779408107436,0.989884703576776,0.954902724914483,0.975137431284358
6,3,0.887,0.998,0.968,0.807,0.973,0.948009950248756,0.990179522611846,0.957398425585075,0.92525
6,4,0.836,0.997,0.956,0.712,0.961,0.946019900497512,0.988101767590273,0.956381652711181,0.941323345817728
6,5,0.852,0.997,0.958,0.745,0.964,0.943255350920856,0.985881412431559,0.953947316044026,0.874519110667
7,1,0.848,0.998,0.957,0.737,0.964,0.946530713752798,0.988602064400381,0.955487581405928,0.950256185953512
7,2,0.885,0.997,0.968,0.798,0.972,0.946517412935323,0.989467052365283,0.955400399257351,0.892017017017017
7,3,0.848,0.996,0.957,0.74,0.963,0.945260014929087,0.987572008371012,0.953639585368096,0.950368842210553
7,4,0.876,0.995,0.969,0.774,0.971,0.945011196815128,0.987077708671112,0.95588062717673,0.932753098743865
7,5,0.89,0.998,0.97,0.81,0.974,0.946019900497512,0.988652239632254,0.955882177532861,0.895933911259027
8,1,0.844,0.996,0.958,0.729,0.963,0.946241911398706,0.988339109132734,0.956029353061217,0.941560496294446
8,2,0.843,0.996,0.958,0.728,0.963,0.945038547624969,0.987596859518763,0.955005507679961,0.87488127968008
8,3,0.88,0.997,0.968,0.794,0.972,0.947001741726798,0.990026829620698,0.956300714435294,0.888268703486095
8,4,0.858,0.996,0.958,0.758,0.964,0.944513560587211,0.987316330877113,0.953622819608514,0.896052631578947
8,5,0.885,0.997,0.967,0.804,0.972,0.946295375435107,0.988916627221995,0.955144500380503,0.87213399310863
9,1,0.85,0.997,0.959,0.737,0.964,0.944776119402985,0.988126456749603,0.953667906652409,0.943525224775225
9,2,0.882,0.997,0.968,0.798,0.972,0.945011196815128,0.987120342063643,0.954467545275951,0.907049605385858
9,3,0.848,0.997,0.958,0.735,0.964,0.945024875621891,0.987363977933977,0.955051327743219,0.891554222888556
9,4,0.89,0.997,0.97,0.808,0.974,0.947984071677451,0.990358864488484,0.956399326550266,0.93002093002093
9,5,0.877,0.996,0.964,0.786,0.969,0.945052212829438,0.987653515395352,0.953792164392483,0.910151450906205
10,1,0.838,0.996,0.954,0.724,0.961,0.945024875621891,0.987072503419973,0.95476899088217,0.945482064921897
10,2,0.857,0.996,0.96,0.752,0.966,0.946255287384922,0.988316285096676,0.956183439085191,0.916064026810124
10,3,0.843,0.997,0.953,0.737,0.961,0.944029850746269,0.986513685448851,0.953126241873182,0.97478152309613
10,4,0.86,0.996,0.962,0.754,0.966,0.94452736318408,0.987146858353174,0.954752435871943,0.91215034965035
10,5,0.852,0.998,0.961,0.741,0.966,0.948009950248756,0.990152584860944,0.956832257623665,0.950375
11,1,0.835,0.996,0.952,0.719,0.96,0.945508833043046,0.988125917172252,0.954967007412769,0.879874461040044
11,2,0.872,0.996,0.964,0.772,0.968,0.945011196815128,0.9876462563357,0.954615861214374,0.896052631578947
11,3,0.848,0.997,0.959,0.734,0.964,0.945273631840796,0.987288537054025,0.954704420042534,0.9749000999001
11,4,0.884,0.998,0.965,0.798,0.971,0.945549477871706,0.988653315286224,0.954491398393837,0.875231423567676
