"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.87,0.998,0.961,0.789,0.969,0.947237431557989,0.989651823193275,0.955899784194719,0.892255049240527
3,2,0.854,0.997,0.958,0.758,0.965,0.947250559840756,0.989415273393545,0.955901744863699,0.898784411181105
1,2,0.843,0.997,0.957,0.73,0.963,0.947774185525989,0.990207873106852,0.956551112554751,0.898671416193319
4,4,0.845,0.997,0.958,0.735,0.964,0.948245832296591,0.99038449570722,0.957047573826813,0.950368842210553
19,4,0.853,0.998,0.958,0.755,0.965,0.947761194029851,0.990411326042537,0.957663959307858,0.899875
19,1,0.841,0.997,0.954,0.738,0.962,0.94849465041055,0.990943482290068,0.955901744863699,0.922499731538819
8,4,0.847,0.997,0.956,0.743,0.964,0.947001741726798,0.989678904792776,0.955620310692119,0.868552457314672
5,5,0.846,0.997,0.956,0.741,0.963,0.945495271279243,0.988145868949275,0.954900699483624,0.855331830703732
20,1,0.845,0.997,0.956,0.743,0.963,0.948258706467662,0.992331247473821,0.956517200238616,0.864345938726104
6,1,0.852,0.997,0.956,0.756,0.964,0.945771144278607,0.988363993854628,0.954017072792178,0.88311489551159
10,2,0.858,0.998,0.959,0.765,0.966,0.947499377954715,0.989601577762017,0.956183439085191,0.950368842210553
8,2,0.853,0.997,0.958,0.756,0.965,0.948022879880627,0.989858928892025,0.957002476221126,0.951565476190476
7,1,0.846,0.998,0.956,0.743,0.963,0.947028102462074,0.989972160439462,0.955769580323726,0.868439411827842
7,3,0.847,0.998,0.956,0.748,0.964,0.947250559840756,0.989674290036635,0.955137792291386,0.904517306797437
11,1,0.842,0.998,0.955,0.737,0.963,0.94849465041055,0.991179790610432,0.956248117116123,0.934052982895286
3,4,0.857,0.998,0.957,0.764,0.966,0.946006469270963,0.988358259179687,0.954638389983622,0.910258084171128
5,2,0.839,0.997,0.954,0.733,0.962,0.945757651157004,0.987794205083426,0.95477756382384,0.925243810952738
6,4,0.839,0.998,0.954,0.729,0.962,0.94726368159204,0.989707182783838,0.956881127889501,0.888274901828545
16,5,0.832,0.996,0.953,0.716,0.96,0.945522388059701,0.987601794827595,0.955421417393248,0.879880684456829
12,4,0.861,0.998,0.962,0.765,0.967,0.949515046008456,0.991708335821044,0.957898918757271,0.953873675968419
20,4,0.844,0.997,0.954,0.739,0.962,0.946268656716418,0.988915552565154,0.955140030686009,0.864471157859588
4,2,0.868,0.999,0.962,0.78,0.969,0.945757651157004,0.989049145299145,0.955184574892446,0.886402387041773
13,2,0.844,0.998,0.954,0.742,0.963,0.947499377954715,0.990121463657231,0.955965931686405,0.929901971933496
13,5,0.85,0.997,0.957,0.752,0.964,0.946766169154229,0.988889286961818,0.956202385864569,0.888399995648911
11,5,0.844,0.998,0.956,0.738,0.963,0.948992286638467,0.991532254850383,0.957662971669144,0.898784411181105
10,5,0.838,0.996,0.957,0.727,0.962,0.948756218905473,0.991330114599829,0.957897932167006,0.859147869674185
11,3,0.852,0.998,0.956,0.756,0.965,0.947512437810945,0.989572192513369,0.956202385864569,0.975256185953512
2,3,0.882,0.998,0.967,0.799,0.972,0.946019900497512,0.988839696555155,0.955186675609211,0.9
17,3,0.833,0.996,0.954,0.717,0.961,0.948245832296591,0.99047149466848,0.957595827304504,0.892136003337505
10,4,0.849,0.997,0.958,0.747,0.964,0.947512437810945,0.990647917379984,0.956549567125597,0.884203465369048
9,1,0.851,0.998,0.958,0.748,0.965,0.948507462686567,0.991032231977819,0.957380603067821,0.886415688519897
5,1,0.855,0.999,0.957,0.761,0.966,0.948009950248756,0.990736686514994,0.956881127889501,0.895469336670839
20,3,0.856,0.997,0.959,0.756,0.966,0.946779408107436,0.989101929147249,0.955922668037132,0.90706199277092
2,2,0.853,0.998,0.958,0.756,0.965,0.94849465041055,0.990943482290068,0.95681327204612,0.932122339731035
19,5,0.858,0.998,0.96,0.76,0.966,0.946033325043522,0.988340083085345,0.955641389370785,0.884209688785833
2,5,0.863,0.998,0.964,0.763,0.968,0.947512437810945,0.990939294392418,0.954516219152569,0.873225406570054
1,3,0.899,1,0.969,0.839,0.976,0.950248756218905,0.993300050422365,0.955559766396036,0.912913261066991
10,1,0.844,0.997,0.956,0.739,0.963,0.946019900497512,0.988410575014352,0.955485618659968,0.875344180225282
15,5,0.838,0.997,0.956,0.724,0.962,0.948258706467662,0.990707705693946,0.957596953639916,0.892017017017017
3,5,0.851,0.997,0.957,0.751,0.964,0.947512437810945,0.989889445195807,0.956814678472362,0.925125
19,2,0.874,0.998,0.964,0.788,0.97,0.947512437810945,0.990147766090439,0.956549567125597,0.907055800627587
9,3,0.846,0.996,0.957,0.742,0.963,0.947512437810945,0.99047192353644,0.955984970744427,0.868558545662754
18,5,0.835,0.996,0.955,0.716,0.961,0.946255287384922,0.988409929921317,0.956183439085191,0.859947215319116
1,4,0.888,0.999,0.968,0.812,0.973,0.946517412935323,0.989121413238512,0.95570306392389,0.888274901828545
1,5,0.865,0.998,0.963,0.768,0.968,0.947761194029851,0.990096359743041,0.956138555502207,0.932003350338841
17,2,0.847,0.997,0.957,0.74,0.964,0.948284435604177,0.991208395818502,0.956786958127492,0.883001900523803
3,3,0.863,0.999,0.962,0.766,0.968,0.949763740363094,0.992533795890738,0.957766548864891,0.882309162697418
9,5,0.87,0.997,0.963,0.784,0.969,0.946544007956241,0.989127190164501,0.955379352423715,0.879321629321629
2,4,0.859,0.999,0.96,0.764,0.967,0.947499377954715,0.991179790610432,0.954996422342471,0.850921745673439
17,4,0.858,0.998,0.959,0.766,0.966,0.94628201939816,0.988626931422413,0.955205842699977,0.910145290036322
3,1,0.871,0.999,0.962,0.786,0.969,0.948009950248756,0.991939817302526,0.954615193644489,0.848182714045563
16,2,0.845,0.998,0.955,0.744,0.963,0.948258706467662,0.991032231977819,0.957097509613055,0.87224703859546
8,1,0.844,0.997,0.956,0.737,0.963,0.946739671478347,0.989178071443783,0.955964107204894,0.871296528125522
10,3,0.849,0.998,0.955,0.752,0.963,0.947014925373134,0.989943248164102,0.955123173949673,0.875814536340852
5,4,0.862,0.999,0.96,0.769,0.967,0.947774185525989,0.990358864488484,0.957067856087379,0.922380914805755
18,2,0.849,0.998,0.958,0.745,0.965,0.948992286638467,0.99199842384517,0.95654802005673,0.904517306797437
17,1,0.851,0.998,0.957,0.755,0.964,0.94722429673886,0.989328361480814,0.95583428481877,0.930014791216293
11,2,0.866,0.998,0.962,0.774,0.968,0.946752923612839,0.989334055022584,0.955918748772856,0.900118779694924
7,4,0.867,0.996,0.966,0.768,0.969,0.945757651157004,0.988388668768472,0.956248117116123,0.832005288358465
4,1,0.871,0.998,0.964,0.784,0.97,0.94849465041055,0.99179815754991,0.955838479590407,0.854772150352261
13,4,0.845,0.997,0.957,0.734,0.963,0.945535936334245,0.988207256154596,0.955360370021726,0.819307783905741
15,3,0.852,0.998,0.956,0.756,0.964,0.946530713752798,0.989601793894117,0.955159105523322,0.884334720043647
2,1,0.861,0.997,0.963,0.756,0.968,0.946530713752798,0.988006396588486,0.956251178952594,0.925131217195701
6,2,0.873,0.998,0.964,0.786,0.97,0.948271574235265,0.990648024895489,0.957332967434144,0.929789265498193
7,2,0.881,0.998,0.964,0.805,0.971,0.948507462686567,0.991175393136622,0.956549567125597,0.933933933933934
20,5,0.88,0.997,0.967,0.797,0.971,0.944762378701169,0.987227248536455,0.95443634152243,0.891422977588936
18,3,0.85,0.996,0.955,0.754,0.963,0.945771144278607,0.987773187633262,0.954858903336566,0.975024975024975
14,3,0.869,0.998,0.963,0.781,0.969,0.948730711796914,0.99140708915145,0.956898868905813,0.901621240383455
15,4,0.881,0.999,0.965,0.807,0.972,0.947748196068674,0.990647809764695,0.953717795453055,0.929548375971909
11,4,0.872,0.997,0.964,0.784,0.97,0.946544007956241,0.989416563580171,0.955207941194936,0.882876744078246
8,3,0.871,0.998,0.964,0.783,0.97,0.948992286638467,0.991794659073073,0.958230755075448,0.879303203683369
15,2,0.848,0.997,0.958,0.742,0.964,0.946766169154229,0.989707182783838,0.955268373362193,0.879434536420015
9,2,0.877,0.998,0.964,0.798,0.97,0.947250559840756,0.989358561834086,0.955058220636608,0.937371168776127
16,4,0.878,0.998,0.966,0.791,0.971,0.947014925373134,0.98962658698479,0.955341369770746,0.898665305650784
6,5,0.844,0.998,0.956,0.736,0.963,0.945495271279243,0.988620471198556,0.955118699526594,0.829254298113837
6,3,0.872,0.999,0.964,0.784,0.97,0.950746268656716,0.99303403260246,0.957831145677386,0.941838965258037
14,1,0.832,0.997,0.953,0.717,0.96,0.94726368159204,0.98936400977528,0.956484322828887,0.92525
17,5,0.882,0.999,0.964,0.805,0.971,0.947512437810945,0.990707705693946,0.955404441050895,0.875814536340852
14,5,0.863,0.998,0.958,0.779,0.967,0.948009950248756,0.991472520908005,0.954687383560623,0.909398496240602
19,3,0.877,0.998,0.964,0.797,0.971,0.947997014182632,0.99047149466848,0.9550748654916,0.898298375971909
16,1,0.882,0.999,0.966,0.804,0.972,0.949489922866385,0.991968626103241,0.957199487588385,0.907099645665889
7,5,0.873,0.999,0.963,0.789,0.97,0.948258706467662,0.991443921600639,0.955685967657799,0.904398081878042
20,2,0.868,0.999,0.961,0.784,0.969,0.949738740980343,0.992233641782673,0.957047573826813,0.93904011727158
15,1,0.858,0.998,0.96,0.76,0.966,0.94849465041055,0.991203489269724,0.957030086719873,0.898659192047622
8,5,0.876,0.998,0.963,0.793,0.97,0.948035803083043,0.990916372654699,0.95458305267245,0.927809345220294
12,2,0.846,0.998,0.958,0.738,0.964,0.948009950248756,0.991267065353048,0.957097509613055,0.850450901803607
5,3,0.887,0.999,0.966,0.816,0.973,0.949017657299179,0.992799775008524,0.955142266714465,0.881936529903397
4,5,0.882,0.999,0.965,0.805,0.972,0.949515046008456,0.991444028916996,0.956421820186055,0.959086276000277
18,4,0.878,0.998,0.964,0.802,0.971,0.947276796816712,0.990152800091521,0.955360370021726,0.886421773818468
12,3,0.872,0.998,0.963,0.783,0.969,0.946517412935323,0.989601685878307,0.953676621752745,0.889738981674284
12,1,0.872,0.999,0.964,0.785,0.97,0.948730711796914,0.991939817302526,0.956054755478829,0.879272959699669
13,3,0.874,0.999,0.964,0.787,0.97,0.947499377954715,0.990358864488484,0.956183439085191,0.907049605385858
4,3,0.865,0.998,0.96,0.771,0.967,0.944541158915693,0.989101929147249,0.952343947331465,0.808884988298228
16,3,0.87,0.998,0.964,0.779,0.969,0.94726368159204,0.990121571472502,0.955576442643337,0.882989676378106
14,2,0.88,0.999,0.965,0.801,0.972,0.95,0.992502855367543,0.955874145137321,0.931345053241216
9,4,0.884,0.998,0.967,0.806,0.973,0.947237431557989,0.989596135650615,0.956681188827883,0.900112556278139
18,1,0.864,0.999,0.963,0.765,0.968,0.944776119402985,0.98831650193382,0.954280925034922,0.822682229063102
13,1,0.877,0.998,0.964,0.797,0.971,0.948258706467662,0.991443921600639,0.956484322828887,0.879434536420015
14,4,0.865,0.999,0.962,0.771,0.968,0.946779408107436,0.989077970989273,0.956187078402018,0.92500624843789
12,5,0.876,0.998,0.964,0.794,0.97,0.944278606965174,0.988358690841568,0.952340351902417,0.813900121011777
