"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.92,0.916,0.932,0.916,0.917,0.964426877470356,0.944485255535733,0.998650472334683,0.859687083888149
3,2,0.88,0.872,0.939,0.823,0.872,0.961791831357049,0.927367941712204,0.997978436657682,0.784646194926569
1,2,0.86,0.853,0.962,0.779,0.853,0.961892247043364,0.963082155939299,0.997311827956989,0.817375886524823
4,4,0.897,0.85,0.999,0.76,0.85,0.964426877470356,0.982312925170068,0.998648648648649,0.88342175066313
19,4,0.903,0.894,0.989,0.849,0.895,0.957894736842105,0.936847383635184,0.972334682860999,0.731481481481481
19,1,0.868,0.883,0.914,0.847,0.883,0.965744400527009,0.982993197278912,0.995973154362416,0.936648865153538
8,4,0.85,0.861,0.914,0.813,0.861,0.957839262187088,0.921607629427793,0.995973154362416,0.757352941176471
5,5,0.848,0.857,0.877,0.814,0.856,0.952506596306069,0.880218281036835,0.933456873315364,0.705533303664145
20,1,0.846,0.836,0.926,0.748,0.835,0.961791831357049,0.948553840140707,0.922970230040595,0.796521304926764
6,1,0.855,0.892,0.909,0.852,0.891,0.956578947368421,0.920952380952381,0.961968680089485,0.784666666666667
10,2,0.911,0.906,0.947,0.872,0.906,0.963109354413702,0.981029810298103,0.997978436657682,0.983443708609272
8,2,0.885,0.858,0.925,0.817,0.858,0.961892247043364,0.960170737222976,0.997981157469717,0.900110375275938
7,1,0.848,0.856,0.925,0.814,0.856,0.956636005256242,0.920298913043478,0.937144212523719,0.85906374501992
7,3,0.886,0.897,0.936,0.867,0.897,0.963109354413702,0.920373980857852,0.937807198351039,0.844391179290508
11,1,0.864,0.886,0.916,0.836,0.885,0.963109354413702,0.982993197278912,0.962634408602151,0.874222222222222
3,4,0.856,0.906,0.832,0.874,0.903,0.95778364116095,0.934844367588933,0.959581413210445,0.859666666666667
5,2,0.83,0.835,0.865,0.803,0.835,0.953947368421053,0.947708019950914,0.994652406417112,0.882781456953642
6,4,0.898,0.878,0.933,0.847,0.878,0.959156785243742,0.918452380952381,0.997978436657682,0.769091945288754
16,5,0.772,0.76,0.821,0.704,0.76,0.948751642575558,0.89746772591857,0.993991989319092,0.696381205001895
12,4,0.903,0.884,0.997,0.818,0.884,0.967148488830486,0.982993197278912,0.998652291105121,0.98474801061008
20,4,0.885,0.887,0.919,0.868,0.887,0.95921052631579,0.907508463442979,0.996639784946237,0.80349556985071
4,2,0.899,0.9,0.951,0.869,0.9,0.956521739130435,0.97972972972973,0.94174538911381,0.480870712401055
13,2,0.91,0.908,0.964,0.883,0.908,0.963060686015831,0.981004070556309,0.997304582210243,0.98406374501992
13,5,0.857,0.831,0.967,0.755,0.832,0.956521739130435,0.91146540027137,0.997308209959623,0.73273572377158
11,5,0.884,0.861,0.926,0.828,0.862,0.964426877470356,0.930012702755521,0.997978436657682,0.849598930481283
10,5,0.826,0.769,0.963,0.632,0.768,0.961791831357049,0.903558135412974,0.998650472334683,0.754485460919777
11,3,0.9,0.912,0.941,0.862,0.911,0.960578186596583,0.980378890392422,0.971662647183998,0.982189973614776
2,3,0.896,0.914,0.914,0.897,0.913,0.959156785243742,0.97972972972973,0.996639784946237,0.857781456953642
17,3,0.865,0.822,0.977,0.717,0.822,0.963109354413702,0.942288828337875,0.998650472334683,0.841185410334347
10,4,0.852,0.832,0.936,0.759,0.832,0.959264126149803,0.980378890392422,0.997311827956989,0.782142857142857
9,1,0.89,0.879,0.966,0.808,0.879,0.961791831357049,0.911471565370334,0.997978436657682,0.803475935828877
5,1,0.942,0.949,0.986,0.918,0.948,0.965744400527009,0.946569520340012,0.999324324324324,0.859687083888149
20,3,0.849,0.847,0.931,0.794,0.848,0.956578947368421,0.954054054054054,0.99597855227882,0.816091954022989
2,2,0.898,0.902,0.961,0.856,0.901,0.963109354413702,0.98168249660787,0.997308209959623,0.900730411686587
19,5,0.87,0.883,0.904,0.835,0.881,0.956636005256242,0.936196535878402,0.99597855227882,0.79589973439575
2,5,0.863,0.859,0.977,0.774,0.859,0.969736842105263,0.970638736263736,0.997308209959623,0.887919463087248
1,3,0.957,0.994,0.991,0.989,0.994,0.97364953886693,0.986968449931413,0.995308310991957,0.961828127477406
10,1,0.877,0.863,0.941,0.811,0.864,0.959156785243742,0.907483302975106,0.997304582210243,0.784646194926569
15,5,0.875,0.846,0.976,0.768,0.847,0.963157894736842,0.962312925170068,0.997981157469717,0.859042553191489
3,5,0.925,0.895,0.992,0.844,0.895,0.961842105263158,0.959264940121527,0.998652291105121,0.882781456953642
19,2,0.923,0.92,0.976,0.883,0.921,0.961791831357049,0.960799319727891,0.997975708502024,0.816733067729084
9,3,0.774,0.801,0.871,0.703,0.8,0.95921052631579,0.939311594202899,0.994645247657296,0.849617672047579
18,5,0.809,0.809,0.923,0.713,0.808,0.955204216073781,0.888281724347298,0.996639784946237,0.733935742971888
1,4,0.916,0.934,0.948,0.909,0.933,0.95910290237467,0.937474120082816,0.996635262449529,0.7965
1,5,0.905,0.935,0.939,0.899,0.934,0.961892247043364,0.981029810298103,0.996644295302013,0.912656309208033
17,2,0.879,0.869,0.944,0.814,0.869,0.963206307490145,0.963082155939299,0.997981157469717,0.85906374501992
3,3,0.942,0.958,0.958,0.953,0.958,0.965834428383706,0.965771779380238,0.997311827956989,0.895090909090909
9,5,0.848,0.868,0.901,0.822,0.867,0.956636005256242,0.956975027678681,0.995314591700134,0.79589973439575
2,4,0.949,0.949,0.997,0.922,0.949,0.96969696969697,0.984972677595628,0.998650472334683,0.930444444444444
17,4,0.866,0.87,0.91,0.827,0.87,0.957894736842105,0.936847383635184,0.995308310991957,0.818020417221482
3,1,0.888,0.932,0.9,0.913,0.931,0.965789473684211,0.983651226158038,0.995308310991957,0.903966131907308
16,2,0.905,0.901,0.96,0.853,0.9,0.963109354413702,0.917558299039781,0.997978436657682,0.793617240668179
8,1,0.841,0.823,0.908,0.725,0.822,0.960474308300395,0.921607629427793,0.997308209959623,0.818
10,3,0.832,0.891,0.819,0.879,0.889,0.956578947368421,0.923915321735485,0.952317290552585,0.807353504404443
5,4,0.918,0.914,0.97,0.893,0.915,0.957950065703022,0.979082321187584,0.969530432181845,0.981554677206851
18,2,0.911,0.892,0.97,0.829,0.892,0.967105263157895,0.953338643302801,0.947972972972973,0.895739774244447
17,1,0.901,0.905,0.959,0.86,0.904,0.96042216358839,0.958250988142292,0.997304582210243,0.816710992907801
11,2,0.925,0.925,0.978,0.882,0.925,0.96042216358839,0.980352303523035,0.997975708502024,0.815452538631346
7,4,0.856,0.803,0.978,0.712,0.804,0.955263157894737,0.914429827148841,0.997981157469717,0.648099027409372
4,1,0.909,0.89,0.98,0.828,0.89,0.968421052631579,0.938701923076923,0.997981157469717,0.887919463087248
13,4,0.832,0.851,0.901,0.768,0.849,0.954007884362681,0.881532147742818,0.99597855227882,0.717917783735478
15,3,0.9,0.917,0.92,0.875,0.916,0.95921052631579,0.97972972972973,0.996639784946237,0.857804232804233
2,1,0.821,0.84,0.884,0.787,0.839,0.950065703022339,0.974598930481283,0.994652406417112,NA
6,2,0.918,0.918,0.961,0.865,0.917,0.961892247043364,0.961657608695652,0.973650472334683,0.882804232804233
7,2,0.88,0.905,0.897,0.879,0.904,0.963109354413702,0.982312925170068,0.996635262449529,0.859687083888149
20,5,0.875,0.86,0.945,0.813,0.861,0.956578947368421,0.979082321187584,0.996644295302013,0.731481481481481
18,3,0.818,0.828,0.856,0.775,0.827,0.955263157894737,0.977150537634409,0.995308310991957,0.982189973614776
14,3,0.911,0.896,0.968,0.836,0.895,0.968379446640316,0.983628922237381,0.998650472334683,0.985352862849534
15,4,0.936,0.964,0.971,0.948,0.963,0.972295514511873,0.987620357634113,0.995967741935484,0.901643248392474
11,4,0.869,0.896,0.945,0.831,0.894,0.956636005256242,0.938658977838082,0.994652406417112,0.802848484848485
8,3,0.885,0.891,0.962,0.816,0.89,0.963060686015831,0.929990215264188,0.998648648648649,0.784625668449198
15,2,0.831,0.839,0.89,0.764,0.838,0.95921052631579,0.913934619557526,0.917678812415655,0.835333333333333
9,2,0.938,0.924,0.993,0.898,0.925,0.96969696969697,0.96769012753897,0.998650472334683,0.941176470588235
16,4,0.856,0.881,0.906,0.828,0.88,0.956521739130435,0.95273826458037,0.959587727708533,0.88342175066313
6,5,0.836,0.868,0.875,0.828,0.867,0.952506596306069,0.918234500277844,0.995302013422819,0.73209549071618
6,3,0.941,0.96,0.975,0.936,0.959,0.971052631578947,0.985636114911081,0.997981157469717,0.945632798573975
14,1,0.859,0.839,0.922,0.764,0.838,0.95921052631579,0.95589277659643,0.997308209959623,0.857804232804233
17,5,0.891,0.937,0.87,0.949,0.935,0.963157894736842,0.947892271662763,0.995314591700134,0.853914988814318
14,5,0.859,0.927,0.866,0.909,0.924,0.965744400527009,0.984972677595628,0.956176531243555,0.880776605944391
19,3,0.902,0.925,0.937,0.906,0.924,0.967061923583663,0.934910836762689,0.996639784946237,0.888575268817204
16,1,0.947,0.956,0.999,0.927,0.956,0.969736842105263,0.968949771689498,0.999324324324324,0.886
7,5,0.943,0.954,0.97,0.934,0.953,0.96969696969697,0.984972677595628,0.997978436657682,0.936648865153538
20,2,0.943,0.958,0.94,0.947,0.957,0.96969696969697,0.984289617486339,0.997975708502024,0.986666666666667
15,1,0.859,0.861,0.874,0.845,0.861,0.960526315789474,0.957625030795763,0.996644295302013,0.912635173591349
8,5,0.892,0.923,0.906,0.92,0.922,0.968462549277267,0.98431105047749,0.99597855227882,0.949506375976964
12,2,0.94,0.91,1,0.855,0.911,0.963157894736842,0.931859993395915,0.976190476190476,0.795877659574468
5,3,0.967,0.987,0.995,0.978,0.987,0.975,0.973586128666343,0.997308209959623,0.931755205446916
4,5,0.916,0.951,0.93,0.95,0.95,0.969776609724047,0.98431105047749,0.99597855227882,0.988636363636364
18,4,0.912,0.924,0.983,0.888,0.924,0.964473684210526,0.963739258017187,0.997981157469717,0.873575972777038
12,3,0.861,0.894,0.877,0.907,0.894,0.961842105263158,0.98168249660787,0.993983957219251,0.895739774244447
12,1,0.94,0.95,0.989,0.931,0.951,0.96969696969697,0.985636114911081,0.997308209959623,0.903949129852744
13,3,0.897,0.892,0.931,0.86,0.892,0.961791831357049,0.980378890392422,0.997308209959623,0.983443708609272
4,3,0.844,0.913,0.801,0.92,0.911,0.955204216073781,0.95273826458037,0.952309236947791,0.841185410334347
16,3,0.923,0.938,0.983,0.914,0.938,0.965744400527009,0.983628922237381,0.997978436657682,0.873555555555556
14,2,0.929,0.956,0.975,0.938,0.956,0.972368421052632,0.987637362637363,0.995973154362416,0.90167049323094
9,4,0.933,0.923,1,0.875,0.923,0.959156785243742,0.958276797829037,0.997978436657682,0.68209549071618
18,1,0.914,0.926,0.957,0.907,0.926,0.955204216073781,0.950629779577148,0.996639784946237,0.648148148148148
13,1,0.922,0.935,0.96,0.901,0.935,0.965834428383706,0.983651226158038,0.997981157469717,0.873596335697399
14,4,0.919,0.922,0.964,0.886,0.922,0.95921052631579,0.979082321187584,0.997981157469717,0.981530343007916
12,5,0.862,0.891,0.915,0.864,0.891,0.95646437994723,0.918426430517711,0.994638069705094,0.776921358355675
