"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.983,0.985,0.976,0.999,0.985,0.988879384088965,0.995141342756184,0.994773519163763,0.937066348655681
3,2,0.972,0.977,0.968,1,0.977,0.990598290598291,0.995141342756184,0.995209059233449,1
1,2,0.974,0.983,0.976,1,0.983,0.992307692307692,0.974164379137736,0.978419364246136,0.970588235294118
4,4,0.966,0.968,0.956,1,0.968,0.992307692307692,0.996017699115044,0.996506550218341,0.9995670995671
19,4,0.98,0.984,0.979,0.994,0.984,0.994871794871795,0.997779751332149,0.997810858143608,0.968316724436742
19,1,0.983,0.983,0.975,1,0.983,0.992307692307692,0.985266502961144,0.996506550218341,0.944444444444444
8,4,0.979,0.986,0.979,1,0.986,0.992307692307692,0.996457041629761,0.996073298429319,0.970588235294118
5,5,0.973,0.971,0.965,0.996,0.971,0.990598290598291,0.995579133510168,0.995640802092415,0.968316724436742
20,1,1,1,0.999,1,1,0.994871794871795,0.988692067736185,0.980567560216386,0.921052631578947
6,1,0.937,0.935,0.91,1,0.936,0.988888888888889,0.994704324801412,0.994347826086956,0.970588235294118
10,2,0.986,0.985,0.98,1,0.986,0.990598290598291,0.995579133510168,0.995640802092415,0.968316724436742
8,2,0.975,0.979,0.973,0.992,0.979,0.992314261315115,0.996017699115044,0.996506550218341,0.999567474048443
7,1,0.989,0.992,0.99,1,0.992,0.993162393162393,0.987351075352004,0.996940559440559,0.9
7,3,0.966,0.985,0.979,0.988,0.985,0.988898377455167,0.994268077601411,0.995209059233449,0.999135695764909
11,1,0.973,0.981,0.979,0.989,0.981,0.994017094017094,0.996897163120567,0.997375328083989,0.9995670995671
3,4,0.973,0.991,0.991,0.975,0.991,0.989752348420154,0.982637046861185,0.976839099764864,0.999135695764909
5,2,0.98,0.987,0.982,1,0.987,0.990590248075278,0.995579133510168,0.995636998254799,0.966233391103408
6,4,0.998,0.999,1,0.999,0.999,0.993162393162393,0.985972065234943,0.979515886915186,0.968316724436742
16,5,0.985,0.98,0.972,1,0.98,0.993156544054748,0.984989648033126,0.979513584574934,0.9995670995671
12,4,0.979,0.98,0.972,1,0.98,0.994871794871795,0.997779751332149,0.997810858143608,0.968316724436742
20,4,0.96,0.966,0.953,0.99,0.966,0.990590248075278,0.995579133510168,0.995636998254799,0.966233391103408
4,2,0.991,0.996,0.999,0.995,0.996,0.988888888888889,0.995141342756184,0.995209059233449,0.936633448873484
13,2,0.985,0.984,0.979,0.999,0.984,0.991452991452991,0.996457041629761,0.996073298429319,0.940742819243916
13,5,0.973,0.974,0.962,1,0.974,0.992314261315115,0.996457041629761,0.996073298429319,0.970588235294118
11,5,0.999,0.999,1,1,0.999,0.995722840034217,0.998222222222222,0.998245614035088,0.966233391103408
10,5,1,1,1,1,1,0.995730145175064,0.998222222222222,0.997810858143608,0.970588235294118
11,3,0.968,0.971,0.96,1,0.971,0.991452991452991,0.995579133510168,0.995640802092415,1
2,3,0.965,0.971,0.965,0.99,0.971,0.990598290598291,0.983075221238938,0.977272727272727,0.999134948096886
17,3,0.974,0.979,0.974,0.992,0.979,0.993162393162393,0.985972065234943,0.997375328083989,0.940742819243916
10,4,0.98,0.982,0.975,1,0.982,0.993156544054748,0.986414141414141,0.978416682882532,0.941176470588235
9,1,0.994,0.999,0.998,1,0.999,0.995726495726496,0.998222222222222,0.997810858143608,0.970588235294118
5,1,0.978,0.976,0.967,1,0.976,0.992307692307692,0.985266502961144,0.978419364246136,0.968316724436742
20,3,0.982,0.985,0.98,1,0.985,0.992314261315115,0.996457041629761,0.996506550218341,0.9683170995671
2,2,0.983,0.987,0.977,1,0.987,0.994871794871795,0.986666666666667,0.980567560216386,1
19,5,0.974,0.984,0.983,0.99,0.984,0.98974358974359,0.995141342756184,0.996073298429319,0.962988136431043
2,5,0.989,0.995,0.999,0.992,0.995,0.989734816082121,0.994704324801412,0.995204882301656,0.9995670995671
1,3,0.989,0.986,0.981,1,0.986,0.994017094017094,0.997779751332149,0.996940559440559,0.944444444444444
10,1,0.945,0.966,0.965,0.946,0.966,0.988888888888889,0.982316534040672,0.974803664921466,0.965800865800866
15,5,0.987,0.99,0.986,1,0.99,0.993162393162393,0.985972065234943,0.997810858143608,0.936633448873484
3,5,0.968,0.967,0.959,1,0.967,0.992301112061591,0.996457041629761,0.996503496503496,0.966233391103408
19,2,0.986,0.99,0.986,1,0.99,0.993162393162393,0.996457041629761,0.996940559440559,0.9995670995671
9,3,0.99,0.994,0.999,0.994,0.994,0.994011976047904,0.987109529458284,0.997808939526731,0.911330678104575
18,5,0.974,0.984,0.981,0.995,0.984,0.991452991452991,0.995579133510168,0.996506550218341,0.999134948096886
1,4,0.97,0.986,0.98,0.986,0.986,0.991460290350128,0.995579133510168,0.996506550218341,0.999135695764909
1,5,0.975,0.979,0.978,0.994,0.98,0.992307692307692,0.996017699115044,0.996506550218341,0.9995670995671
17,2,0.982,0.981,0.976,1,0.982,0.993168232280102,0.997779751332149,0.996506550218341,0.921052631578947
3,3,0.985,0.995,1,0.985,0.995,0.996581196581197,0.999109528049866,0.998684210526316,0.940742819243916
9,5,0.976,0.987,0.981,0.987,0.987,0.992314261315115,0.984825993732476,0.979080739907512,0.999567474048443
2,4,0.979,0.978,0.97,1,0.978,0.98974358974359,0.995579133510168,0.995209059233449,0.940742819243916
17,4,0.983,0.995,0.992,1,0.995,0.990598290598291,0.983075221238938,0.977272727272727,0.999134948096886
3,1,0.984,0.985,0.978,1,0.985,0.994017094017094,0.997338065661047,0.996940559440559,0.970588235294118
16,2,0.973,0.989,0.987,0.986,0.989,0.994017094017094,0.997338065661047,0.997375328083989,0.968316724436742
8,1,0.97,0.976,0.964,0.999,0.976,0.989734816082121,0.983514171833481,0.976066433566434,0.932466782206817
10,3,0.972,0.971,0.961,1,0.971,0.994017094017094,0.996897163120567,0.997375328083989,0.9995670995671
5,4,0.993,0.997,0.995,1,0.997,0.994876174210077,0.997779751332149,0.997810858143608,0.9683170995671
18,2,0.981,0.987,0.988,0.993,0.987,0.992307692307692,0.996897163120567,0.996506550218341,0.940742819243916
17,1,0.966,0.967,0.949,1,0.967,0.990598290598291,0.995141342756184,0.995209059233449,1
11,2,0.983,0.985,0.981,1,0.985,0.989752348420154,0.995579133510168,0.995209059233449,0.940743195024977
7,4,0.97,0.98,0.98,0.986,0.98,0.990590248075278,0.983514171833481,0.97726966821455,0.963419913419914
4,1,0.987,0.988,0.985,1,0.988,0.993156544054748,0.997338065661047,0.996503496503496,0.941176470588235
13,4,0.972,0.988,0.987,0.987,0.988,0.98974358974359,0.983075221238938,0.995640802092415,0.940742819243916
15,3,0.974,0.971,0.96,1,0.971,0.993162393162393,0.996457041629761,0.996503496503496,1
2,1,0.988,0.992,0.989,1,0.992,0.992314261315115,0.996897163120567,0.996506550218341,0.940743195024977
6,2,0.99,0.994,0.994,0.994,0.994,0.994017094017094,0.996897163120567,0.997375328083989,0.9995670995671
7,2,0.98,0.977,0.969,1,0.977,0.994871794871795,0.997338065661047,0.997375328083989,1
20,5,0.963,0.966,0.956,0.997,0.966,0.985470085470086,0.992530755711775,0.993918331885317,0.998703543647364
18,3,0.961,0.968,0.954,1,0.968,0.990590248075278,0.995141342756184,0.995636998254799,0.9995670995671
14,3,0.98,0.984,0.981,0.994,0.984,0.992307692307692,0.996457041629761,0.996940559440559,0.965800865800866
