,Rep,Kfold,Num_Vars_,Precision_label_category_background,Recall_label_category_background,F1_score_label_category_background,Num_Obs_label_category_background,AUC_label_category_background,Accuracy_label_category_background,Precision_label_category_dos,Recall_label_category_dos,F1_score_label_category_dos,Num_Obs_label_category_dos,AUC_label_category_dos,Accuracy_label_category_dos,Precision_label_category_r2l,Recall_label_category_r2l,F1_score_label_category_r2l,Num_Obs_label_category_r2l,AUC_label_category_r2l,Accuracy_label_category_r2l,Precision_label_category_probe,Recall_label_category_probe,F1_score_label_category_probe,Num_Obs_label_category_probe,AUC_label_category_probe,Accuracy_label_category_probe,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,8.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1126.944771528244,32.207651376724236,1.9389584064483645,1170.8004558086395
0,12.0,3.0,51.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1544.2895152568815,190.9135446548462,1.517946481704712,1740.5219235420227
0,1.0,4.0,39.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,938.6059093475342,29.840067625045773,2.6282687187194824,982.082853794098
0,14.0,1.0,46.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1118.6838698387146,28.819101810455322,1.6196577548980713,1158.958126783371
0,12.0,1.0,32.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9997393797237424,1.0,0.9998696728789259,7672.0,0.9987714987714988,0.9997643176997408,1.0,0.992,0.9959839357429718,125.0,0.996,0.9998821588498704,1.0,0.998542274052478,0.9992706053975201,686.0,0.999271137026239,0.9998821588498704,0.9997643791233268,0.9997643176997408,0.9997640534524734,8486.0,0.9987714987714991,0.9997756630001952,2117.286171913147,222.91634917259216,1.1118786334991455,2345.470468997956
0,10.0,1.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2853.616168498993,8.134166240692139,1.5207259654998782,2866.5762088298798
0,1.0,2.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,930.5292532444,29.16277265548706,2.8406825065612797,974.87699341774
0,3.0,3.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,907.2655837535858,28.158509492874146,2.1376004219055176,950.9872145652772
0,7.0,4.0,45.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1131.048954486847,38.51867938041686,1.928863525390625,1180.6918365955353
0,3.0,4.0,48.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,820.6634953022003,82.37567305564879,3.403726816177368,915.744208097458
0,16.0,5.0,34.0,1.0,1.0,1.0,4.0,1.0,1.0,0.999869672878926,1.0,0.9999348321928968,7672.0,0.9993872549019608,0.9998821866163996,1.0,0.992,0.9959839357429718,125.0,0.996,0.9998821866163996,1.0,1.0,1.0,686.0,1.0,1.0,0.9998821880908588,0.9998821727347708,0.999881939973109,8487.0,0.9993871827038816,0.9998917649402694,1130.3130304813385,37.2447509765625,1.9293551445007324,1178.1158285140993
0,20.0,1.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,0.999869672878926,1.0,0.9999348321928968,7672.0,0.9993865030674848,0.9998821727347708,1.0,1.0,1.0,126.0,1.0,1.0,1.0,0.998542274052478,0.9992706053975201,686.0,0.999271137026239,0.9998821727347708,0.9998821880908588,0.9998821727347708,0.9998821336027576,8487.0,0.9993865030674846,0.9998839636758824,1115.9775924682615,109.67370295524596,6.699770450592041,1250.2059326171875
0,7.0,5.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1133.897045135498,34.830776929855354,1.6822335720062256,1179.6217696666718
0,17.0,2.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1070.5151641368866,58.8420467376709,2.2963130474090576,1143.5843739509585
0,3.0,1.0,32.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,918.7566585540773,31.81649708747864,2.1438150405883794,965.6943018436432
0,20.0,3.0,49.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1168.4169600009918,94.79900240898131,8.848568201065062,1304.503393650055
0,9.0,2.0,46.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1112.3782851696014,30.275508403778076,1.6087069511413574,1154.9013350009918
0,16.0,3.0,49.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1051.152886390686,76.92913937568666,2.6008493900299072,1141.5844135284426
