"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l"
1,1,0.866,1,0.74,0.699,0.964,0.74,0.905749293119698,0.4997642621405,0.787705956907478,0.60290442418102,0.894318181818182
1,2,0.836,0.979,0.762,0.733,0.935,0.762,0.904761904761905,0.499764150943396,0.72412337066275,0.710283687943262,0.758162652110772
1,3,0.851,0.991,0.769,0.746,0.961,0.77,0.906691800188501,0.4997642621405,0.770184743215769,0.860321209258385,0.781192629360169
1,4,0.775,0.964,0.773,0.751,0.95,0.774,0.902921771913289,0.499764150943396,0.715974252623467,0.709867799811143,0.69406739439962
1,5,0.839,NA,0.76,0.729,0.964,NA,0.906647807637907,0.5,0.782531668808518,0.459631728045326,0.813894062107497
2,1,0.791,0.981,0.771,0.742,0.973,0.771,0.905233380480905,0.499764150943396,0.740238095238095,0.647746095598675,0.827880512091038
2,2,0.837,1,0.753,0.722,0.956,0.753,0.905749293119698,NA,0.779567078972407,0.660085025980161,0.794542002847651
2,3,0.844,NA,0.785,0.74,0.965,NA,0.905749293119698,NA,0.787705956907478,0.709669811320755,0.775789411206078
2,4,0.826,0.982,0.731,0.702,0.96,0.732,0.904806786050895,NA,0.743375660598943,0.602668017561635,0.7847185724654
2,5,0.91,1,0.775,0.753,0.985,0.776,0.908533710513909,0.75,0.789159503342884,0.710682141165324,0.895489078822412
3,1,0.833,0.983,0.791,0.749,0.983,0.791,0.908105560791706,NA,0.836984770155093,0.760085025980161,0.911690363349131
3,2,0.852,0.997,0.752,0.726,0.972,0.754,0.904335532516494,NA,0.73863926067559,0.682468317820897,0.733097617914372
3,3,0.879,1,0.748,0.735,0.911,0.75,0.907119283356907,0.75,0.788333333333333,0.710283687943262,0.840935629835061
3,4,0.824,NA,0.755,0.73,0.955,NA,0.909005186232909,0.5,0.821470534239031,0.773219356365357,0.848188324759562
3,5,0.836,0.968,0.755,0.716,0.972,0.755,0.905749293119698,NA,0.820866951431735,0.584867799811143,0.812260453899488
4,1,0.905,1,0.757,0.729,0.984,0.758,0.907119283356907,1,0.788333333333333,0.710085025980161,0.807511876484561
4,2,0.818,0.975,0.783,0.749,0.967,0.783,0.910032972209138,0.499764373232799,0.859973955467518,0.760719356365357,0.928826691967109
4,3,0.816,NA,0.754,0.729,0.952,NA,0.901415094339623,0.5,0.644263708341841,0.709867799811143,0.66049089469517
4,4,0.826,0.983,0.739,0.709,0.954,0.74,0.903393025447691,NA,0.723906341749853,0.559612659423713,0.733097617914372
4,5,0.845,0.997,0.774,0.739,0.948,0.774,0.908576814326107,NA,0.830672068636797,0.746234380276933,0.84819058264636
5,1,0.829,0.983,0.745,0.718,0.937,0.746,0.906647807637907,NA,0.773160379401447,0.760302457466919,0.789127152762246
5,2,0.911,1,0.761,0.724,0.955,0.761,0.907163053722903,0.666666666666667,0.812164275515061,0.459669811320755,0.870251661918329
5,3,0.836,NA,0.763,0.74,0.96,NA,0.9000471475719,NA,0.62677620708647,0.584612659423713,0.653373900991814
5,4,0.838,0.997,0.745,0.72,0.959,0.746,0.907634307257304,NA,0.830042816365366,0.793635790800252,0.816210355109786
