"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.u2r","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l","acc.u2r"
1,1,0.778,0.982,0.756,0.712,0.914,0.612,0.755,0.793590951932139,0.870857007575758,0.750910359369073,0.725043591209753,0.825530879813189,NA
1,2,0.787,0.984,0.731,0.691,0.918,0.738,0.732,0.789064341267971,0.962527593818985,0.720632317960324,0.682319052255761,0.812784917332548,NA
1,3,0.78,0.984,0.74,0.705,0.919,0.716,0.741,0.790056550424128,0.813220797629019,0.744221105527638,0.703025660117991,0.796361200822079,NA
1,4,0.794,0.988,0.757,0.719,0.895,0.785,0.757,0.793777987273156,0.88000545553737,0.75783649302207,0.715977330664401,0.828657579583063,NA
1,5,0.841,0.988,0.767,0.73,0.927,0.831,0.768,0.793070940372378,0.937153754071435,0.762655865393902,0.721843576393431,0.797575504024225,0.499528524281
2,1,0.768,0.983,0.753,0.71,0.936,0.624,0.753,0.793777987273156,0.953842669187741,0.765902258043882,0.726847065917973,0.796028532870638,NA
2,2,0.779,0.987,0.752,0.723,0.901,0.565,0.754,0.789163722025913,0.859610789400039,0.741286515204246,0.705331262939959,0.784962485749887,NA
2,3,0.769,0.973,0.732,0.688,0.918,0.654,0.732,0.78972182932579,0.933358968291529,0.734072028855042,0.694831789371039,0.784232223774318,NA
2,4,0.781,0.988,0.766,0.71,0.913,0.667,0.763,0.795475966069746,0.945276334435522,0.767382892895365,0.73319439382896,0.849259822592066,NA
2,5,0.803,0.983,0.748,0.715,0.912,0.768,0.75,0.791421164270563,0.904365011170304,0.755096000733657,0.724821054569725,0.800834568133531,NA
3,1,0.752,0.987,0.759,0.722,0.902,0.547,0.759,0.791371994342291,0.99515824279641,0.752088462169703,0.719297591297591,0.797985105412858,NA
3,2,0.807,0.981,0.757,0.71,0.918,0.795,0.756,0.794110718492344,0.912526614620298,0.75730278723527,0.707446808510638,0.828662653889438,NA
3,3,0.818,0.988,0.752,0.718,0.932,0.771,0.754,0.795711592836946,0.907624653835984,0.752187722103767,0.726412218588258,0.86181684693911,0.499528524281
3,4,0.805,0.987,0.736,0.695,0.93,0.785,0.738,0.794249351873674,0.929076001261432,0.768193540640507,0.722735635407239,0.822934098334529,NA
3,5,0.803,0.986,0.747,0.708,0.886,0.871,0.747,0.786707518265378,0.994692144373673,0.731002044989775,0.700746965452848,0.767154433493016,NA
4,1,0.794,0.984,0.728,0.683,0.912,0.791,0.729,0.791185481970304,0.92407864067831,0.735447884696395,0.705477743519824,0.772216909713921,NA
4,2,0.765,0.986,0.757,0.725,0.92,0.61,0.758,0.788592976667452,0.870272985109903,0.731399528640759,0.695492957746479,0.803714313501852,NA
4,3,0.794,0.987,0.753,0.707,0.931,0.753,0.753,0.791519434628975,0.949939880620088,0.748662256353319,0.732018107139875,0.768313668645282,NA
4,4,0.789,0.986,0.755,0.723,0.924,0.712,0.757,0.792835258072119,0.945275218521143,0.769549869825143,0.735720110236083,0.821780212799746,NA
4,5,0.791,0.987,0.752,0.707,0.908,0.746,0.751,0.793070940372378,0.878093594276329,0.749258890957647,0.706175557667746,0.831221994379889,NA
5,1,0.777,0.983,0.751,0.717,0.902,0.705,0.752,0.792884071630537,0.827906245084159,0.755323208053413,0.737702833874347,0.789471165350562,0.499528635399482
5,2,0.77,0.983,0.744,0.699,0.901,0.681,0.744,0.788828658967711,0.852531837989393,0.73269601625141,0.689160507535538,0.785587687197008,0.499528524281
5,3,0.798,0.986,0.755,0.713,0.919,0.728,0.755,0.79076343072573,0.877045205958301,0.751094298652484,0.677685739773162,0.896026970322681,0.499528635399482
5,4,0.772,0.985,0.756,0.713,0.938,0.568,0.756,0.792079207920792,0.904363894200812,0.75701774691358,0.716201117318436,0.792462971810798,NA
5,5,0.773,0.982,0.74,0.706,0.91,0.676,0.742,0.79052780395853,0.837844908128309,0.738011648411418,0.717174920712369,0.798331609479696,NA
6,1,0.773,0.985,0.746,0.706,0.903,0.659,0.746,0.794249351873674,0.953204203585411,0.758808722795878,0.747615299673425,0.73378890369737,NA
6,2,0.789,0.988,0.754,0.709,0.904,0.683,0.753,0.793257897218293,0.907622694048033,0.753290411963653,0.717692688727963,0.828655040611562,NA
6,3,0.833,0.988,0.747,0.716,0.929,0.902,0.75,0.790007070469008,0.912057827148822,0.739505547933345,0.7209635336415,0.779567161587219,NA
6,4,0.759,0.98,0.739,0.703,0.908,0.654,0.74,0.785579641847314,0.828489287964713,0.726327006539766,0.668781139504982,0.809659512972542,NA
