"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l"
1,1,0.744,1,0.694,0.678,0.916,0.697,0.000471253534401508,NA,NA,NA,NA
1,2,0.788,0.941,0.717,0.683,0.96,0.718,0.000471475719000471,0.500236183278224,0.0476415094339623,0.459631728045326,NA
1,3,0.782,0.974,0.758,0.73,0.979,0.759,0.000471253534401508,NA,NA,NA,NA
1,4,0.766,1,0.73,0.711,0.903,0.731,0.000471253534401508,0.5002357378595,0.0478547854785479,NA,NA
2,1,0.765,0.999,0.723,0.703,0.966,0.725,0.000471475719000471,NA,NA,NA,NA
2,3,0.796,NA,0.745,0.724,0.942,NA,0,NA,NA,NA,NA
2,4,0.698,0.732,0.693,0.665,0.929,0.695,0.000471253534401508,NA,NA,NA,NA
2,5,0.803,1,0.727,0.706,0.97,0.729,0.000471475719000471,NA,NA,NA,NA
3,1,0.807,1,0.746,0.716,0.96,0.747,0.000942507068803016,0.5002357378595,0.548090523338048,NA,NA
3,2,0.766,0.984,0.704,0.678,0.947,0.706,0.000471253534401508,0.5002357378595,0.0478547854785479,NA,NA
3,3,0.763,1,0.699,0.681,0.909,0.7,0.000942951438000943,0.500236071765817,0.547877358490566,0.459650778669184,NA
3,4,0.76,NA,0.722,0.696,0.92,NA,0,NA,NA,NA,NA
3,5,0.769,0.894,0.714,0.692,0.94,0.715,0.000471253534401508,NA,NA,NA,NA
4,1,0.76,1,0.725,0.699,0.965,0.726,0.000471475719000471,NA,NA,NA,NA
4,2,0.78,1,0.735,0.706,0.953,0.736,0.000471031559114461,0.5002357378595,0.0480678605089538,0.45947219604147,NA
4,4,0.648,0.466,0.69,0.657,0.914,0.69,0.000942507068803016,0.500235849056604,0.297877358490566,NA,NA
4,5,0.773,0.975,0.747,0.717,0.953,0.748,0.000942507068803016,0.500235849056604,0.548090523338048,0.45968882602546,NA
5,1,0.746,0.928,0.697,0.674,0.907,0.698,0.000471475719000471,NA,NA,NA,NA
5,2,0.806,1,0.735,0.712,0.953,0.736,0.000471253534401508,NA,NA,NA,NA
5,3,0.799,NA,0.74,0.719,0.949,NA,0.00188590287600189,0.5,0.547945205479452,0.459318826868496,NA
5,4,0.777,0.989,0.717,0.683,0.972,0.718,0.000471253534401508,NA,NA,NA,NA
5,5,0.808,1,0.739,0.712,0.942,0.74,0.00235626767200754,0.500236518448439,0.447945205479452,0.459650778669184,NA
6,1,0.744,0.994,0.703,0.683,0.907,0.705,0.000471253534401508,NA,NA,NA,NA
6,2,0.789,1,0.74,0.7,0.973,0.74,0.000942507068803016,0.50023596035866,0.297877358490566,0.45968882602546,NA
6,3,0.753,0.946,0.7,0.673,0.91,0.701,0.000471253534401508,0.500236406619385,0.0474280320906088,0.459395656279509,NA
6,4,0.802,NA,0.742,0.716,0.97,NA,0,NA,NA,NA,NA
6,5,0.768,1,0.732,0.725,0.915,0.734,0.000471253534401508,NA,NA,NA,NA
7,1,0.814,NA,0.745,0.721,0.966,NA,0,NA,NA,NA,NA
7,3,0.761,1,0.714,0.683,0.918,0.715,0.000471031559114461,0.500235626767201,0.0480678605089538,NA,NA
7,4,0.656,0.448,0.729,0.704,0.95,0.73,0.000471253534401508,NA,NA,NA,NA
8,1,0.796,NA,0.731,0.722,0.945,NA,0,NA,NA,NA,NA
8,2,0.796,1,0.736,0.716,0.94,0.737,0.000471253534401508,0.500235849056604,0.0476415094339623,NA,NA
8,5,0.743,0.922,0.684,0.653,0.927,0.685,0.000942951438000943,0.500236183278224,0.297663992449268,0.459650778669184,NA
9,1,0.768,0.901,0.729,0.706,0.952,0.73,0.00141442715700141,0.500236071765817,0.381019830028329,NA,NA
