"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.u2r","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l","acc.u2r"
20,1,0.759,0.979,0.75,0.72,0.918,0.617,0.752,0.795899127975489,0.82609362288003,0.760092362148111,0.72312645143804,0.880401626842908,NA
20,3,0.816,0.976,0.753,0.722,0.92,0.926,0.755,0.793306622672637,0.826650491635806,0.742126933981904,0.721034025629695,0.820634543872142,NA
19,5,0.76,0.981,0.737,0.703,0.923,0.639,0.739,0.794062205466541,0.856326143635933,0.743096506067542,0.704206263675256,0.90264399416217,NA
20,4,0.777,0.976,0.741,0.709,0.919,0.791,0.743,0.790714117369785,0.799775461786138,0.732326104889,0.727730256928224,0.790959200494539,NA
20,5,0.776,0.976,0.732,0.697,0.933,0.762,0.734,0.792550683639793,0.876442968935262,0.737465642178911,0.698569533914361,0.836130369986393,NA
20,2,0.79,0.989,0.724,0.693,0.92,0.774,0.727,0.793452661328309,0.862132624427706,0.733777961197007,0.704936626739989,0.825417086062445,NA
2,2,0.743,0.979,0.742,0.716,0.909,0.656,0.745,0.793639575971731,0.885451240714399,0.748534267807804,0.735904880102832,0.826480402452658,NA
1,5,0.814,0.979,0.748,0.717,0.928,0.892,0.751,0.796134810275748,0.889654295882054,0.754365242182114,0.72155153738392,0.830095750672758,NA
3,1,0.747,0.98,0.738,0.708,0.914,0.599,0.741,0.796558227251297,0.858376921857664,0.752871774213238,0.717304169324038,0.841994647035259,NA
1,4,0.755,0.981,0.745,0.716,0.897,0.627,0.747,0.793542304972897,0.834984770790762,0.754741188633573,0.730701179183955,0.820863024544735,NA
3,4,0.794,0.983,0.725,0.692,0.929,0.793,0.728,0.794013669573415,0.820321999077607,0.753117081269282,0.720255631746195,0.821091831075192,NA
1,1,0.806,0.967,0.759,0.728,0.932,0.918,0.761,0.795004712535344,0.851515661967949,0.754464231860408,0.721392646741997,0.842377280766904,NA
1,2,0.789,0.985,0.71,0.682,0.916,0.81,0.715,0.790714117369785,0.809056637378295,0.718459746321192,0.704981858262401,0.812865810135617,NA
1,3,0.786,0.98,0.738,0.702,0.933,0.769,0.74,0.789585296889727,0.835147408131899,0.732350918699539,0.678082807425115,0.891120418367113,NA
13,1,0.792,0.983,0.735,0.707,0.913,0.889,0.739,0.7924617196702,0.907512957756021,0.729432487211659,0.700321240833279,0.797508582305156,NA
2,1,0.812,0.977,0.743,0.713,0.924,0.914,0.746,0.788828658967711,0.77609357696567,0.714821014726256,0.682150196597002,0.839344694194908,NA
