,Rep.,Kfold,Num. Vars.,Precision-Background,Recall-Background,F1_score_Background,Num. Obs. Background,AUC_Background,Precision-DoS,Recall-DoS,F1_score_DoS,Num. Obs. Dos,AUC_DoS,Precision-Botnet,Recall-Botnet,F1_score_Botnet,Num. Obs. Botnet,AUC_Botnet,Precision-Scan,Recall-Scan,F1_score_Scan,Num. Obs. Scan,AUC_Scan,Precision-SSHscan,Recall-SSHscan,F1_score_SSHscan,Num. Obs. SSHscan,AUC_SSHscan,Precision-UDPscan,Recall-UDPscan,F1_score_UDPscan,Num. Obs. UDPscan,AUC_UDPscan,Precision-Spam,Recall-Spam,F1_score_Spam,Num. Obs. Spam,AUC_Spam,Precision-w,Recall-w,F1_score_w,Total Obs.,AUC_w,Time
0,8,4,90,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,29949.378973722454
0,12,3,88,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,33273.54722452164
0,1,4,82,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,39797.60376763344
0,14,1,93,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16015,1.0,32276.126260519028
0,12,1,93,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16011,1.0,31168.69109940529
0,10,1,80,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16012,1.0,27837.474877357487
0,1,2,87,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,40369.008148670204
0,3,3,86,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,31717.63740515709
0,7,4,88,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16011,1.0,31160.781858205795
0,3,4,90,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16011,1.0,29686.205891609196
0,16,5,88,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,28722.49297332764
0,20,1,93,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,47864.9707877636
0,7,5,95,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,28454.030869007114
0,17,2,77,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,29893.965145349503
0,3,1,102,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,30957.02479457855
0,20,3,92,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16011,1.0,30416.805624723438
0,9,2,94,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16012,1.0,26567.188493013386
0,16,3,92,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16013,1.0,31650.09745287895
0,3,5,99,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16011,1.0,28898.264331817627
0,12,4,90,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16013,1.0,30769.357199192047
0,15,1,95,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16013,1.0,31961.21226191521
0,4,5,93,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16013,1.0,28954.98905324936
0,5,5,88,1.0,1.0,1.0,9340,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,30367.024077892303
0,13,5,96,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16011,1.0,30231.940841674805
0,1,1,100,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6121,1.0,1.0,1.0,1.0,16012,1.0,36225.02406930924
0,12,2,87,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,209,1.0,1.0,1.0,1.0,215,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,19,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,31557.884015321735
0,12,5,103,1.0,1.0,1.0,9339,1.0,1.0,1.0,1.0,208,1.0,1.0,1.0,1.0,216,1.0,1.0,1.0,1.0,99,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,6122,1.0,1.0,1.0,1.0,16012,1.0,32407.42672991753
