,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_nerisbotnet,Recall_label_nerisbotnet,F1_score_label_nerisbotnet,Num_Obs_label_nerisbotnet,AUC_label_nerisbotnet,Precision_label_scan,Recall_label_scan,F1_score_label_scan,Num_Obs_label_scan,AUC_label_scan,Precision_label_anomaly_sshscan,Recall_label_anomaly_sshscan,F1_score_label_anomaly_sshscan,Num_Obs_label_anomaly_sshscan,AUC_label_anomaly_sshscan,Precision_label_anomaly_udpscan,Recall_label_anomaly_udpscan,F1_score_label_anomaly_udpscan,Num_Obs_label_anomaly_udpscan,AUC_label_anomaly_udpscan,Precision_label_anomaly_spam,Recall_label_anomaly_spam,F1_score_label_anomaly_spam,Num_Obs_label_anomaly_spam,AUC_label_anomaly_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,2.0,5.0,97.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16012.0,1.0,119776.57445859908
0,16.0,5.0,88.0,0.9919088683061854,0.9976442873969376,0.9947683109118086,9339.0,0.9931275535591012,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,8.0,1.0,0.9970433639947438,0.9915060437765436,0.9942669942669944,6122.0,0.9948430117770484,0.9941504119090238,0.9953784661503872,0.9947566696545042,16012.0,0.994019931350708,124379.50621247293
0,4.0,4.0,94.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16012.0,1.0,108833.30232596396
0,13.0,5.0,96.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6121.0,1.0,1.0,1.0,1.0,16011.0,1.0,121491.45845556259
0,9.0,4.0,92.0,0.9979685662354324,0.9994646107720312,0.9987160282473786,9339.0,0.9983086578511736,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9988151661299466,0.9996877341993504,0.9992511233950956,16012.0,0.9990135245860674,111195.94566226006
0,12.0,2.0,87.0,0.9904336734693876,0.9977513652425312,0.9940790526484236,9339.0,0.9921320890351724,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9944204394535732,0.9986884836372719,0.9965466070874112,16012.0,0.9954110404383884,99097.2971932888
0,7.0,5.0,95.0,0.9991440188315855,0.9998929221544064,0.9995183302113996,9339.0,0.9993471203520008,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,216.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9995007801079234,0.9999375507400238,0.9997190836098332,16013.0,0.9996192316847148,114736.74213075636
0,4.0,1.0,92.0,0.9965822920004273,0.99914337723525,0.9978611913164368,9339.0,0.9971736070828529,1.0,1.0,1.0,208.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9980064970952464,0.9995003435138342,0.9987524617890328,16011.0,0.9983514031944766,101143.48792052268
0,10.0,3.0,88.0,0.9924419842452629,0.9982867544705,0.995355789248919,9339.0,0.9938234311839989,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9955917868390276,0.9990007494379216,0.9972912637893864,16012.0,0.9963975158523212,101738.28113222124
0,13.0,4.0,107.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16013.0,1.0,145945.381067276
