,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Accuracy_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Accuracy_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Accuracy_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Accuracy_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,8.0,4.0,84.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12768.0,1.0,1.0,1.0,1.0,1.0,37820.0,1.0,1.0,18689.897022485733,542.7838900089264,14.53999090194702,19322.63643765449
0,12.0,3.0,82.0,1.0,1.0,1.0,24072.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37817.0,1.0,1.0,3860.420047044754,91.97316408157349,3.032243490219116,3964.519623279572
0,1.0,4.0,85.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37821.0,1.0,1.0,18328.633813142776,514.8261108398439,16.540801048278812,18922.882672071453
0,14.0,1.0,80.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37821.0,1.0,1.0,18278.493637323383,428.0516917705536,7.128270387649536,18743.89225840568
0,12.0,1.0,84.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37821.0,1.0,1.0,17196.587955474854,518.8842575550078,17.4495267868042,17826.552233219147
0,10.0,1.0,88.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37822.0,1.0,1.0,17510.082782268524,435.6888029575348,8.697951078414919,17992.225165128708
0,1.0,2.0,82.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37821.0,1.0,1.0,18253.427051305767,417.4399726390839,17.734540224075317,18748.33793330193
0,3.0,3.0,83.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37819.0,1.0,1.0,16979.934091091156,1105.9869391918182,15.823371410369873,18191.997875928882
0,7.0,4.0,88.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37819.0,1.0,1.0,18648.71114206314,652.2995269298552,14.440775156021118,19382.72300863266
0,3.0,4.0,81.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37822.0,1.0,1.0,18480.233578681942,489.8730247020722,6.241870164871216,19017.30642652512
