,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Accuracy_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Accuracy_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Accuracy_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Accuracy_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,2.0,5.0,86.0,0.9997923329318436,0.9999584596851244,0.9998753894080996,24073.0,0.9997973852106158,0.9998413579757278,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.9996084266583132,0.9998041749892296,12769.0,0.9998042133291564,0.9998677983131063,0.999867820276256,0.9998413579757278,0.9998545717897108,37821.0,0.999804935199364,0.9998543911374568,213503.30559754366,1784.2043001651764,135.18729496002194,216078.0911743641
0,16.0,5.0,76.0,0.9995015990364248,0.9996676774809952,0.9995846313603324,24073.0,0.9993974116238262,0.999471193252426,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9993733354222152,0.9991385386482888,0.9992559232426084,12769.0,0.9994096014333572,0.9994976335898046,0.9994711962563158,0.9994976335898046,0.9994844058756284,37821.0,0.9994171251612308,0.9994938081614412,188813.96540904048,9166.275750875473,605.906507730484,202011.02585840225
0,4.0,4.0,82.0,0.9999584614106504,1.0,0.9999792302739526,24073.0,0.9999636231356858,0.9999735575651806,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.999921679197995,0.9999608380654004,12768.0,0.9999608395989976,0.9999735575651806,0.999973558663562,0.9999735575651806,0.9999735573220132,37818.0,0.999963623135686,0.9999742406858856,211650.6405146122,1833.1604330539706,323.6306540966034,215009.75161910054
0,13.0,5.0,83.0,0.9990034877927254,0.9994599759066174,0.999231679714268,24073.0,0.9988570702258044,0.9990216816499208,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,0.9545454545454546,0.9767441860465116,22.0,0.9772727272727272,0.9999735589635114,1.0,1.0,1.0,7.0,1.0,1.0,0.9989811113723646,0.9981987626282404,0.9985897837668444,12769.0,0.998839910634307,0.9990481226864092,0.9990217020821788,0.9990216816499208,0.9990212994916297,37820.0,0.9988676115926828,0.9990558921004362,205116.5912578106,3271.2270312309265,215.8605258464813,209421.55391883853
0,9.0,4.0,87.0,0.9997092781792508,0.9999584579594548,0.9998338525441329,24072.0,0.9997246464950024,0.9997884717080908,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9999216546537136,0.9995301119899758,0.9997258449849216,12769.0,0.9997450967119254,0.9998149127445796,0.9997885074723478,0.9998149127445796,0.9998016872833112,37820.0,0.9997386787504569,0.9998028744524774,216962.26396203038,1648.4874024391174,142.11766839027402,219714.8493859768
0,12.0,2.0,85.0,0.9996261992773186,0.999792298425622,0.9997092419522328,24073.0,0.9995688288753076,0.999629835276698,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9996083346388844,0.999373482653301,0.9994908948502056,12769.0,0.9995869488949086,0.9996562756140768,0.999629843743074,0.9996562756140768,0.9996430506295012,37821.0,0.9995861073994441,0.9996483437225906,209668.88452029225,1359.847021341324,151.98068809509275,211898.87880826
0,7.0,5.0,83.0,0.9997508098679292,0.9999584596851244,0.9998546239953481,24073.0,0.9997609845348364,0.9998149078505512,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.9999216546537136,0.9996083959899751,0.9997650007833307,12768.0,0.9997842387119248,0.9998413495861868,0.9998149325093016,0.9998413495861868,0.9998281259007794,37819.0,0.9997750162770292,0.9998286212803816,229869.7732081413,1740.1785717010498,409.25403237342834,234054.70087218285
0,4.0,1.0,89.0,0.9999169262720664,1.0,0.9999584614106504,24073.0,0.9999272621472216,0.9999471193252426,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.9998433706633252,0.999921679197995,12769.0,0.9999216853316626,0.9999471193252426,0.9999471237182372,0.9999471193252426,0.9999471183527084,37821.0,0.9999272621472214,0.9999484881462836,214283.82073950765,1430.2634239196775,139.65718865394592,216429.3243312836
0,10.0,3.0,84.0,0.999626245847176,0.9999584579594548,0.9997923243063632,24072.0,0.9996518610181386,0.9997355756518058,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.9999216423758032,0.999373482653301,0.9996474873682974,12769.0,0.9996667804499688,0.9997620180866256,0.9997356402118,0.9997620180866256,0.9997487862104968,37818.0,0.9996658923791388,0.9997513349737795,214934.69114208219,1772.4007287025452,236.48659133911133,217852.29934525487
0,13.0,4.0,84.0,0.9997507788161992,0.9998753738783648,0.9998130724655742,24072.0,0.999719489252078,0.9997620369635916,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.9997650191900996,0.9996084266583132,0.9996867167919798,12769.0,0.9997443378701112,0.9997884773009704,0.9997620443061244,0.9997884773009704,0.9997752562626078,37821.0,0.9997351470225396,0.9997771296487048,209387.4032459259,1438.9561865329742,156.7881171703339,211722.99418210983
