"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
1,1,0.974,0.895,0.993,0.973,0.995,0.895,0.898,0.813813813813814,0.817434187602058,0.988117776554761,0.946776849037487,0.936996475327291,0.817596514541694
1,2,0.966,0.89,0.992,0.971,0.998,0.891,0.893,0.815769712140175,0.820345349923931,0.988348530901722,0.962641393516678,0.999496855345912,0.819821273132444
1,3,0.97,0.889,0.985,0.994,0.978,0.886,0.891,0.818363772829622,0.822527077086864,0.971841801222983,0.967072448155131,0.93106346483705,0.819652591257834
1,4,0.974,0.891,0.999,0.993,0.999,0.89,0.894,0.816316316316316,0.823022364785611,0.98834878746572,0.965274614021767,0.999622546552592,0.821356465005073
1,5,0.974,0.897,0.997,0.98,0.997,0.894,0.899,0.814814814814815,0.81782190036067,0.961630115944664,0.998357341420268,0.957955689828802,0.815755395135427
2,1,0.965,0.89,0.981,0.979,0.974,0.89,0.892,0.812468703054582,0.816023454230725,0.987749359894207,0.956306702100707,0.976769202600018,0.815322678316228
2,2,0.964,0.902,0.996,0.991,0.955,0.899,0.903,0.832874655991994,0.838583389483667,0.955886543770594,0.988950261669621,0.943313507022982,0.834689911954639
2,3,0.973,0.892,0.979,0.99,1,0.89,0.894,0.821276595744681,0.825350363741415,0.998860759493671,0.962641393516678,0.979040753798372,0.825129118681066
2,4,0.977,0.895,0.997,0.992,0.999,0.892,0.897,0.812406203101551,0.815312527147945,0.945921214756831,0.97651291564775,0.977883511074651,0.813795221549041
2,5,0.973,0.89,0.998,0.95,1,0.889,0.892,0.815815815815816,0.817902818722468,0.969113025848961,0.973966266843452,1,0.818111200250748
3,1,0.97,0.888,0.976,0.981,0.999,0.89,0.892,0.817521902377973,0.81982886462676,0.986577403539205,0.999113924050633,0.910462206057114,0.819560497762977
3,2,0.974,0.893,0.995,0.996,0.999,0.892,0.896,0.819319319319319,0.823934187506841,0.999240121580547,0.957193515704154,0.999496855345912,0.822736526095957
3,3,0.97,0.895,0.997,0.999,0.962,0.896,0.899,0.815018773466833,0.81857555118149,0.978153238746728,0.977836879432624,0.919622166246851,0.81774955839707
3,4,0.967,0.896,0.999,0.974,0.977,0.896,0.899,0.827370527895922,0.836362879239874,0.980262259920055,0.987107550787545,0.972804371411182,0.835147157026932
3,5,0.974,0.894,0.996,0.994,0.99,0.892,0.897,0.823617713284964,0.82615259462789,0.962455734963977,0.951844467186599,0.999622641509434,0.824234887563922
4,1,0.958,0.888,0.991,0.976,0.979,0.887,0.891,0.814861145859395,0.816988183770347,0.960778005264697,0.956180985725828,0.969457582027786,0.815033057874227
4,2,0.967,0.892,0.993,0.991,0.978,0.893,0.895,0.810513141426783,0.81273336501176,0.998734497595545,0.977247954903278,0.975561387111463,0.81219690891683
4,3,0.979,0.895,0.998,0.991,1,0.893,0.897,0.822366775081311,0.826215464950396,0.979758603897717,0.987497987719339,0.962962962962963,0.823749066043177
4,4,0.973,0.895,0.983,0.993,0.999,0.892,0.897,0.822277847309136,0.827421620525069,0.958986058301648,0.959239543726236,0.999496855345912,0.825277312238259
4,5,0.971,0.902,0.998,0.977,0.978,0.898,0.903,0.818568568568569,0.828727237669953,0.978831765794739,0.963598444513734,0.939622261395115,0.825166851960108
