"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
1,1,0.984,0.962,1,0.986,1,0.965,0.964,0.898797595190381,0.906222587719298,0.999492385786802,0.995206861755802,0.999495713565305,0.912133913889892
1,3,0.983,0.959,0.996,0.996,1,0.961,0.961,0.895343014521783,0.902905936769018,0.99949264332826,0.9977192093259,0.963529284633672,0.908110299458224
1,4,0.982,0.965,0.998,0.988,1,0.967,0.967,0.898347521281923,0.906669613631819,0.998986315255955,0.996710526315789,0.970588235294118,0.908644392238754
1,2,0.976,0.96,1,0.985,0.992,0.961,0.962,0.900350525788683,0.906746617273098,0.981634985126605,0.997215189873418,0.94092394533571,0.909731423029295
1,5,0.983,0.961,1,0.981,0.998,0.962,0.962,0.904308617234469,0.911296142103802,0.980007809449434,0.997970573313039,0.999243570347958,0.912000454193995
3,5,0.976,0.96,0.997,0.97,1,0.963,0.962,0.895895895895896,0.903245032073903,0.962201927955353,0.996210207175341,0.940924072809336,0.906702405925466
2,1,0.984,0.962,0.996,0.996,1,0.964,0.964,0.909318637274549,0.915239134444927,0.962201154938585,0.997718052738337,0.944444444444444,0.917029655193213
2,2,0.987,0.96,1,0.986,1,0.961,0.962,0.902902902902903,0.910968110101255,0.999239350912779,0.99746835443038,0.968497729566095,0.909525932948022
2,4,0.969,0.963,1,0.983,0.96,0.965,0.964,0.897897897897898,0.905748240549539,0.999492900608519,0.996963562753036,0.998992950654582,0.909661168175487
3,1,0.986,0.966,1,0.986,1,0.967,0.967,0.905858788182273,0.911533302270576,0.998732894069944,0.997467071935157,0.998992443324937,0.915742651959836
2,3,0.988,0.962,1,0.994,1,0.962,0.963,0.893286573146293,0.899851152124633,0.999746063991874,0.996710526315789,0.999243570347958,0.903050543964839
2,5,0.975,0.964,0.991,0.976,1,0.967,0.966,0.90125313283208,0.908789779585245,0.977898274987316,0.994954591321897,0.966414141414141,0.915093932382498
3,3,0.984,0.963,0.998,0.987,1,0.964,0.965,0.900300601202405,0.907437414387979,0.999492385786802,0.996710526315789,1,0.910093823937342
4,1,0.985,0.954,1,0.99,1,0.955,0.956,0.896292585170341,0.903592583608713,0.99822695035461,0.997718052738337,0.96875,0.904955542331526
3,2,0.986,0.961,0.997,0.998,1,0.964,0.964,0.898296593186373,0.904640547377308,0.999492385786802,0.99645928174001,0.941176470588235,0.908888607065317
3,4,0.973,0.958,1,0.996,0.974,0.96,0.96,0.893286573146293,0.900149218449901,0.999492385786802,0.997718052738337,0.99949545913219,0.90291124250012
4,2,0.987,0.969,0.996,1,1,0.971,0.971,0.912825651302605,0.918669311669501,0.998985801217039,0.998223350253807,1,0.922145922373953
4,3,0.972,0.956,1,0.98,0.993,0.96,0.959,0.886329494241362,0.894048915000233,0.99949264332826,0.996461071789687,0.999495713565305,0.898767195246069
4,4,0.984,0.963,1,0.992,0.998,0.964,0.965,0.902805611222445,0.910289270944854,0.999492385786802,0.995957554320364,0.936994949494949,0.914158957084075
5,3,0.979,0.956,0.999,0.985,0.998,0.959,0.958,0.9004004004004,0.909306119096336,0.982504684681529,0.996462860030318,0.93699545913219,0.91281360883855
