,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,8.0,4.0,60.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5973.109903573989
0,12.0,3.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,5826.443546772003
0,1.0,4.0,61.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,6072.2390434741965
0,14.0,1.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,5889.461412668227
0,12.0,1.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,5900.464612245561
0,10.0,1.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,6053.6421999931335
0,1.0,2.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6294.325518608093
0,3.0,3.0,70.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5964.508915662766
0,7.0,4.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,6074.610468864441
0,3.0,4.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,6115.000880002976
0,16.0,5.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,5892.683295965196
0,20.0,1.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5696.004351139069
0,7.0,5.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6063.064316272736
0,17.0,2.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,9245.33904147148
0,3.0,1.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,6080.494885206223
0,20.0,3.0,61.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6138.108212471008
0,9.0,2.0,73.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,6114.419590950012
0,16.0,3.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5880.274837732314
0,3.0,5.0,62.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6324.4363663196555
0,12.0,4.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6077.122235298157
0,15.0,1.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5482.61437702179
0,4.0,5.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6200.700538635254
0,5.0,5.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5949.7776799201965
0,13.0,5.0,62.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8001.0,1.0,6273.357866525649
0,1.0,1.0,69.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,6278.875720500946
0,12.0,2.0,65.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,6078.030822992326
0,12.0,5.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5730.8344259262085
0,15.0,4.0,64.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,5713.573159694672
0,9.0,3.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,5979.717186212541
0,11.0,3.0,70.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,5821.767375946045
0,14.0,5.0,61.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5875.0045337677
0,2.0,5.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,6081.1125853061685
0,6.0,4.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6051.516999959947
0,6.0,1.0,63.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5974.232484579085
0,7.0,1.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5590.309000015259
0,11.0,4.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,6089.816125154494
0,10.0,4.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5606.099271059035
0,19.0,2.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5697.908692598344
0,9.0,1.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5921.121945858002
0,10.0,2.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7999.0,1.0,6053.1910774707785
0,7.0,3.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6074.781306505202
0,20.0,5.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6201.307253599168
0,13.0,1.0,70.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,5766.285500764848
0,19.0,3.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,4684.3583891391745
0,8.0,5.0,65.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6040.304125785828
0,18.0,1.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,8582.605420351028
0,2.0,2.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6132.733670711517
0,17.0,3.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,4219.888972759247
0,6.0,2.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,5856.004866361617
0,2.0,3.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7997.0,1.0,6015.076422691345
0,18.0,2.0,63.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5654.610899925232
0,9.0,5.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5732.660296678542
0,5.0,2.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5918.730005025865
0,11.0,2.0,63.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5962.442429065704
0,6.0,3.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5751.953728437425
0,19.0,4.0,61.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,5792.992829322815
