,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_backdoor,Recall_label_backdoor,F1_score_label_backdoor,Num_Obs_label_backdoor,AUC_label_backdoor,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Precision_label_shellcode,Recall_label_shellcode,F1_score_label_shellcode,Num_Obs_label_shellcode,AUC_label_shellcode,Precision_label_analysis,Recall_label_analysis,F1_score_label_analysis,Num_Obs_label_analysis,AUC_label_analysis,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,8.0,4.0,64.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,24402.31735682488
0,12.0,3.0,73.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16000.0,1.0,19487.403053045276
0,1.0,4.0,65.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,23306.10024952888
0,14.0,1.0,73.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16001.0,1.0,11877.239849567412
0,12.0,1.0,69.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16000.0,1.0,12695.983041763306
0,10.0,1.0,68.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15998.0,1.0,24377.673840284344
0,1.0,2.0,66.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,27629.67008543014
0,3.0,3.0,72.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,16000.0,1.0,28424.784017562866
0,7.0,4.0,70.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16001.0,1.0,28463.826122760773
0,3.0,4.0,70.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,26351.58250260353
0,16.0,5.0,67.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,16001.0,1.0,18564.738821983334
0,20.0,1.0,62.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,16002.0,1.0,11018.277297735214
0,7.0,5.0,71.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15998.0,1.0,24846.106962680817
0,17.0,2.0,70.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16000.0,1.0,42493.92143177986
0,3.0,1.0,67.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,28868.59372067452
0,20.0,3.0,70.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15998.0,1.0,10916.267661333084
0,9.0,2.0,70.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,44322.493208169944
0,16.0,3.0,65.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,15999.0,1.0,11801.171224832537
0,3.0,5.0,69.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,16002.0,1.0,25154.22309803963
