"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance"
1,1,0.888,0.995,0.837,0.942,0.965,0.997,0.916,0.982,0.891445722861431,0.962365442797642,0.632087982440095,0.816407879529772,0.829515100749221,0.990291045394917,0.742739108662994
1,2,0.902,0.995,0.968,0.926,0.959,1,0.896,0.981,0.8755,0.952867196194845,0.688281522202005,0.785710976422954,0.818058473389356,0.990666301350001,0.492739108662994
1,3,0.901,0.993,0.956,0.937,0.954,0.999,0.844,0.98,0.879939969984992,0.954241597682557,0.814912200475581,0.799232482502538,0.798332248028363,0.989338188882874,0.617982456140351
1,4,0.905,0.992,0.987,0.929,0.966,0.999,0.853,0.98,0.8825,0.948714718271117,0.710761041576752,0.806142698217024,0.816539797008547,0.992168930390492,NA
1,5,0.911,0.997,0.974,0.947,0.966,0.999,0.851,0.985,0.89,0.958777867003174,0.745732931726908,0.816340860577463,0.821619394986482,0.991066557555919,0.492735470941884
2,1,0.913,0.994,0.945,0.948,0.969,0.999,0.892,0.985,0.895395395395395,0.951803147261848,0.896981891348088,0.82831198110831,0.867260187522539,0.989731080539374,0.492728184553661
2,2,0.903,0.996,0.969,0.937,0.958,0.999,0.856,0.982,0.8795,0.953614047430101,0.690912658369772,0.797031232445793,0.795227759865992,0.993997768988083,0.659656150893006
2,3,0.909,0.993,0.949,0.936,0.965,0.999,0.898,0.982,0.882058970514743,0.947909981760762,0.746233048719237,0.802636554111713,0.84667719739013,0.989086504749155,0.492488733099649
2,4,0.906,0.994,0.971,0.944,0.958,0.998,0.878,0.983,0.884,0.95891160599726,0.566411009963444,0.80388495913124,0.829000350140056,0.988133333333333,0.742992992992993
2,5,0.913,0.994,0.975,0.93,0.959,0.997,0.883,0.98,0.876938469234617,0.951490772669627,0.678783280452476,0.797646317004442,0.789992597079211,0.992667897767348,0.492492492492492
3,1,0.91,0.994,0.985,0.939,0.961,0.998,0.861,0.982,0.881881881881882,0.953182252478836,0.682648401826484,0.803983692923894,0.823165446841294,0.991459063345014,0.492735470941884
3,2,0.913,0.994,0.985,0.942,0.961,0.999,0.89,0.983,0.8845,0.944890042200729,0.808734939759036,0.80488746690203,0.866216079787884,0.99014335487646,0.992746373186593
3,3,0.907,0.996,0.977,0.944,0.96,0.997,0.87,0.983,0.888444222111056,0.960981610322154,0.49498997995992,0.818078584978571,0.803179404864798,0.988170449232862,0.492742742742743
3,4,0.904,0.995,0.925,0.944,0.965,1,0.872,0.983,0.896051974012994,0.964617970972523,0.796233048719237,0.823059392627002,0.826069841269841,0.992985516640928,0.49248496993988
3,5,0.913,0.993,0.956,0.938,0.971,1,0.909,0.983,0.8865,0.951536268609439,0.746227364185111,0.807315948025805,0.831251463462959,0.992933354905459,NA
4,1,0.885,0.996,0.855,0.942,0.971,0.998,0.839,0.982,0.890445222611306,0.959921238624477,0.723248582403512,0.809592494927665,0.848710203847916,0.989223195686278,NA
4,2,0.894,0.995,0.921,0.933,0.959,0.999,0.904,0.982,0.878,0.955898268398268,0.638828945475471,0.792842345821743,0.821857765188094,0.986951780632464,0.742742742742743
4,3,0.895,0.993,0.946,0.934,0.957,0.998,0.854,0.98,0.8755,0.951049230032714,0.677796060149001,0.792353649657387,0.797192035215627,0.990934888937982,0.492488733099649
4,4,0.904,0.993,0.94,0.938,0.971,0.999,0.879,0.982,0.89,0.949764613491574,0.782441375341677,0.816416746121175,0.86706557854565,0.992824223738984,0.492728184553661
4,5,0.913,0.993,0.975,0.934,0.966,1,0.879,0.982,0.879939969984992,0.95174256799494,0.769206145966709,0.807797387262907,0.788480556418262,0.990800336625015,0.492728184553661
5,1,0.92,0.992,0.987,0.937,0.961,0.996,0.901,0.981,0.8855,0.958140088953847,0.722222222222222,0.804177349800038,0.832506381108955,0.990812242646587,0.492492492492492
5,2,0.903,0.997,0.945,0.932,0.962,0.999,0.907,0.982,0.878439219609805,0.956789966365098,0.683717851739788,0.796303788818759,0.794671367748803,0.990451832997565,0.492728184553661
5,3,0.888,0.993,0.898,0.932,0.959,1,0.857,0.98,0.878878878878879,0.945203697155574,0.814910554970947,0.797408287802455,0.834128245892952,0.989731175427627,0.492731829573935
