"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
1,1,0.869,0.985,0.899,0.898,0.957,0.993,0.888,0.85,0.967,0.833750625938908,0.919907251897278,0.695931663301363,0.746832468282077,0.828042781053901,0.97451294335704,0.572425610163825,NA
1,2,0.811,0.984,0.808,0.907,0.957,0.995,0.894,0.624,0.968,0.842052565707134,0.927960538776518,0.533004853962675,0.759584075149925,0.811784590196328,0.976317571136226,0.65564462257849,NA
1,3,0.825,0.986,0.91,0.909,0.96,0.995,0.879,0.557,0.97,0.83671424993739,0.920369848055147,0.491225871145651,0.754976563663836,0.808379371746872,0.977996310548874,0.488969666583104,0.499624060150376
1,4,0.835,0.985,0.877,0.902,0.951,0.993,0.883,0.701,0.967,0.835043804755945,0.930660799177762,0.691353383458647,0.750310721179812,0.788750367519459,0.968697614442295,0.989108662994492,NA
1,5,0.833,0.986,0.906,0.909,0.961,0.994,0.882,0.56,0.97,0.839969947407964,0.921181837202274,0.991480831871711,0.757829455534105,0.815152704988377,0.976361397352575,0.689217652958877,NA
2,1,0.812,0.983,0.895,0.908,0.963,0.993,0.897,0.471,0.969,0.841091091091091,0.920928430643779,0.491236855282924,0.759235431752228,0.828682520466996,0.976993709834062,0.988986232790989,NA
2,2,0.873,0.986,0.876,0.902,0.964,0.991,0.917,0.95,0.969,0.841341341341341,0.925829472221161,0.553723671013039,0.757689242583831,0.813445528794183,0.97941209193958,0.622783220296408,0.499624436654982
2,3,0.778,0.985,0.859,0.907,0.954,0.992,0.85,0.348,0.966,0.834460305534686,0.920106411032001,0.658020050125313,0.753196248196248,0.804329497477088,0.974631983358382,0.655881615249561,NA
2,4,0.849,0.985,0.866,0.904,0.958,0.995,0.899,0.774,0.969,0.844939879759519,0.931516132901523,0.635036759406083,0.769822171502512,0.80462128399747,0.975412503518154,0.614092276830492,NA
2,5,0.866,0.986,0.899,0.897,0.948,0.994,0.889,0.846,0.967,0.832707237665915,0.922216530672826,0.627950778503265,0.752461342445127,0.791413880619481,0.971734363562246,0.488969666583104,0.499749436231521
3,1,0.813,0.985,0.879,0.905,0.96,0.994,0.882,0.548,0.968,0.838297872340426,0.92248642098826,0.491230268103232,0.756904649009912,0.814292055037728,0.97447773434955,NA,NA
3,2,0.809,0.984,0.87,0.906,0.952,0.993,0.878,0.568,0.967,0.839509263895844,0.926876126754455,0.491230268103232,0.763481285609648,0.789223064795725,0.975100352473597,0.488977955911824,NA
3,3,0.809,0.982,0.862,0.9,0.957,0.996,0.884,0.462,0.967,0.837546933667084,0.918350224388351,0.616355549987472,0.754523564138891,0.82377050918328,0.975024541298091,0.488983475212819,NA
3,4,0.854,0.987,0.9,0.904,0.951,0.994,0.911,0.694,0.969,0.840050062578223,0.929248758090248,NA,0.755828247718448,0.793269533122112,0.977225838389466,0.613975194186921,NA
3,5,0.841,0.985,0.91,0.902,0.959,0.994,0.879,0.705,0.968,0.834627912803809,0.920373707906869,0.74147228492601,0.750108749476771,0.807787763361505,0.972858072229261,0.572417398578001,NA
4,1,0.808,0.986,0.898,0.899,0.963,0.994,0.853,0.512,0.968,0.840801001251564,0.923249244450046,0.553846877351392,0.760829041172194,0.819668672527342,0.976020179790369,0.655887022645609,NA
4,2,0.859,0.985,0.909,0.9,0.947,0.987,0.911,0.744,0.966,0.839048811013767,0.933808014399651,0.665266391456868,0.755686499947698,0.777390377215128,0.975191448148902,0.488972431077694,0.499749624436655
4,3,0.84,0.986,0.862,0.903,0.963,0.996,0.871,0.766,0.969,0.844516775162744,0.924819588963089,0.491234660656148,0.768857477387294,0.823820666025989,0.974824274824275,0.676712242849975,NA
4,4,0.835,0.984,0.915,0.906,0.961,0.992,0.899,0.552,0.969,0.836213373403456,0.925365285918613,0.591349047141424,0.752495386167853,0.808379371746872,0.972855049790161,0.739220355978942,NA
4,5,0.833,0.983,0.843,0.906,0.956,0.993,0.866,0.733,0.966,0.835462058602555,0.921912262136228,0.634327288366425,0.754159676024886,0.803822354507715,0.973430477931718,0.655881615249561,0.499624248496994
5,1,0.826,0.985,0.866,0.906,0.961,0.995,0.895,0.683,0.969,0.840510766149224,0.921397112607084,0.652063492063492,0.763137550813572,0.827050917196779,0.975129648960389,0.488852705410822,NA
