"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
1,1,0.974,0.994,0.98,0.971,0.981,0.986,0.920415224913495,0.974586916610301,0.911553963278101,0.821750321750322,0.986301369863014
1,2,0.958,0.997,0.963,0.938,0.985,0.982,0.930313588850174,0.99609375,0.886486486486487,0.920806100217865,0.966883116883117
1,3,0.985,1,0.98,0.982,1,0.994,0.940972222222222,0.989858906525573,0.938233376792699,0.832329782306623,0.991062562065541
1,4,0.939,0.998,0.927,0.922,0.969,0.969,0.877622377622378,0.978755014113802,0.826981246218996,0.768272425249169,0.956170814843398
1,5,0.955,0.998,0.968,0.922,0.996,0.985,0.9198606271777,0.98520753606123,0.882742432735426,0.809169764560099,0.988681716138688
2,1,0.956,0.996,0.963,0.933,0.989,0.982,0.909407665505226,0.98520753606123,0.881154946544195,0.797507122507123,0.97461912687236
2,2,0.97,0.994,0.962,0.967,1,0.986,0.9375,0.992957402063873,0.903868113045961,0.862225789192081,0.987179487179487
2,3,0.954,0.995,0.946,0.955,0.983,0.978,0.912891986062718,0.977834799608993,0.882742432735426,0.847898664571877,0.972157622739018
2,4,0.951,0.986,0.963,0.914,0.99,0.976,0.90625,0.97444011684518,0.893420176152764,0.807219031993437,0.961891757696127
2,5,0.954,0.999,0.953,0.924,0.993,0.981,0.905923344947735,0.986740740740741,0.89328968903437,0.774099260319733,0.966883116883117
3,1,0.965,0.988,0.966,0.971,0.983,0.981,0.930313588850174,0.98520753606123,0.913634097706879,0.825459317585302,0.995305164319249
3,2,0.968,1,0.972,0.958,0.988,0.987,0.927335640138408,0.990853658536585,0.892916666666667,0.844848484848485,0.977320872274143
3,3,0.95,0.993,0.954,0.944,0.976,0.976,0.909722222222222,0.978206815854907,0.869213548060952,0.814393939393939,0.986233897448851
3,4,0.979,0.994,0.979,0.97,0.999,0.99,0.951048951048951,0.992248062015504,0.919602818705958,0.915363881401617,0.992957746478873
3,5,0.961,0.989,0.971,0.937,0.994,0.982,0.926829268292683,0.981430671239588,0.926948051948052,0.807915057915058,0.983804890538983
4,1,0.968,0.988,0.968,0.971,0.987,0.982,0.909722222222222,0.97444011684518,0.876825396825397,0.837121212121212,0.979132861686246
4,2,0.96,0.994,0.957,0.947,0.985,0.98,0.909407665505226,0.978813976377953,0.875161290322581,0.800916030534351,0.983804890538983
4,3,0.944,0.996,0.955,0.922,0.992,0.98,0.89198606271777,0.984848484848485,0.877364488952472,0.725285171102662,0.958008658008658
4,4,0.961,0.99,0.973,0.942,0.981,0.98,0.895470383275261,0.970437457279563,0.877421815408085,0.775661587810746,0.981735159817352
4,5,0.955,0.994,0.938,0.941,0.999,0.979,0.927083333333333,0.9890625,0.896929824561403,0.83084495488105,0.982273650520096
5,1,0.963,0.99,0.955,0.97,0.976,0.978,0.923344947735192,0.98520753606123,0.899313501144165,0.830828175655762,0.979591194968553
5,2,0.958,0.998,0.955,0.94,0.986,0.981,0.905923344947735,0.986740740740741,0.881154946544195,0.822824427480916,0.946080817916261
5,3,0.969,0.989,0.96,0.969,0.992,0.982,0.933797909407665,0.988461538461539,0.892797085201794,0.889542483660131,0.991051384385133
5,4,0.958,0.988,0.956,0.95,0.993,0.98,0.885416666666667,0.972663139329806,0.854824561403509,0.759967186218212,0.954848282962873
5,5,0.963,0.999,0.972,0.935,0.996,0.987,0.934027777777778,0.9890625,0.911469265367316,0.840357598978289,0.986291079812207
6,1,0.962,0.994,0.974,0.937,0.992,0.984,0.91958041958042,0.977690224082738,0.910173906381675,0.830715820796826,0.970521327014218
6,2,0.939,0.986,0.935,0.942,0.949,0.962,0.892361111111111,0.984732824427481,0.854824561403509,0.820232399179768,0.943568075117371
6,3,0.968,0.995,0.976,0.948,0.994,0.986,0.899305555555556,0.977753141167775,0.871416191232758,0.777139208173691,0.966916969286638
6,4,0.941,0.995,0.956,0.899,0.998,0.979,0.892361111111111,0.967429406037001,0.867543859649123,0.734454470877769,0.986291079812207
6,5,0.967,0.993,0.975,0.947,0.979,0.982,0.9198606271777,0.985875984251969,0.891621438263229,0.838957541191381,0.974404999335195
7,1,0.951,0.989,0.947,0.947,0.98,0.974,0.903114186851211,0.982070069875776,0.864526098901099,0.789863547758285,0.973444008821367
7,2,0.97,0.995,0.975,0.957,0.997,0.988,0.933566433566434,0.99609375,0.914718614718615,0.824674329501916,0.978365384615385
7,3,0.951,0.991,0.961,0.925,0.984,0.977,0.913194444444444,0.978286270691334,0.910344041922989,0.786263736263736,0.974673462886269
7,4,0.964,1,0.957,0.956,0.989,0.984,0.9198606271777,0.996894409937888,0.888509544787078,0.838390313390313,0.95888846593072
7,5,0.967,0.996,0.962,0.969,0.995,0.986,0.909407665505226,0.973880597014925,0.896244725738397,0.804993514915694,0.983804890538983
8,1,0.951,0.984,0.938,0.961,0.982,0.972,0.902439024390244,0.977443609022556,0.867437591776799,0.820154373927959,0.972157622739018
8,2,0.942,0.985,0.951,0.897,0.981,0.969,0.909722222222222,0.977731317158555,0.888471177944862,0.82895816242822,0.964547301040192
8,3,0.971,0.983,0.986,0.969,0.972,0.98,0.930555555555556,0.982082784847155,0.914736140922212,0.832795067527892,0.986233897448851
8,4,0.966,0.998,0.975,0.953,0.997,0.989,0.916083916083916,0.986683229813665,0.892207792207792,0.767470472440945,0.995283018867924
8,5,0.964,0.999,0.968,0.957,0.992,0.987,0.930555555555556,0.992248062015504,0.893591207536397,0.862225789192081,0.982125124131082
9,1,0.948,0.998,0.975,0.88,0.999,0.983,0.912891986062718,0.98520753606123,0.889775636199368,0.759881422924901,0.984632034632035
9,2,0.97,0.992,0.986,0.951,0.982,0.984,0.9198606271777,0.981060606060606,0.896431046431046,0.887844611528822,0.964865044541949
9,3,0.959,0.997,0.962,0.928,0.999,0.984,0.913494809688581,0.985247093023256,0.911764705882353,0.794960212201592,0.963965311004785
9,4,0.966,0.998,0.957,0.964,0.993,0.985,0.916376306620209,0.990740740740741,0.872687780269058,0.797427101200686,0.982102768770267
9,5,0.957,0.993,0.964,0.95,0.985,0.981,0.895470383275261,0.974399804017638,0.862633127802691,0.836466165413534,0.953617571059431
10,1,0.965,0.994,0.958,0.962,0.995,0.984,0.905594405594406,0.981952136075949,0.880952380952381,0.786328125,0.974564280661136
10,2,0.975,0.992,0.983,0.969,0.983,0.986,0.927083333333333,0.982082784847155,0.906416005519145,0.869446343130554,0.972222222222222
10,3,0.962,0.998,0.969,0.942,0.985,0.984,0.916376306620209,0.98520753606123,0.917755200774069,0.815958299919808,0.955256921925667
10,4,0.955,0.989,0.967,0.926,0.999,0.982,0.916666666666667,0.981450827653359,0.881259370314843,0.791666666666667,0.997641509433962
10,5,0.975,0.998,0.968,0.974,1,0.99,0.934027777777778,0.988461538461539,0.912758486149044,0.858876117496807,0.982125124131082
11,1,0.959,0.99,0.959,0.961,0.987,0.98,0.902439024390244,0.973880597014925,0.886244725738397,0.803047989623865,0.97461912687236
11,2,0.966,0.991,0.972,0.963,0.986,0.983,0.93006993006993,0.982688492063492,0.897531030760928,0.904198698994678,0.974564280661136
11,3,0.972,0.996,0.964,0.974,0.995,0.987,0.9375,0.982082784847155,0.930052403736614,0.87507339988256,0.973187686196624
11,4,0.958,0.993,0.949,0.952,0.99,0.98,0.916666666666667,0.985227438935205,0.892053973013493,0.791666666666667,0.982273650520096
11,5,0.954,0.993,0.951,0.943,0.979,0.977,0.923611111111111,0.9890625,0.891672857432296,0.889624484480139,0.964250248262165
12,1,0.972,0.998,0.982,0.957,0.996,0.991,0.9375,0.988461538461539,0.921280473912053,0.865384615384615,0.981522777954763
12,2,0.954,1,0.955,0.937,0.995,0.984,0.909407665505226,0.98904284591195,0.883225806451613,0.74819897084048,0.979591194968553
12,3,0.939,0.988,0.946,0.933,0.978,0.972,0.888111888111888,0.981410256410256,0.858441558441558,0.758927203065134,0.955200501253133
12,4,0.976,0.984,0.981,0.959,0.993,0.983,0.947916666666667,0.981548111051685,0.933035714285714,0.913590155163189,0.990740740740741
12,5,0.949,0.999,0.944,0.939,0.979,0.977,0.90625,0.976691581431943,0.876069518716578,0.846116219917824,0.958053794546686
13,1,0.958,0.991,0.961,0.927,1,0.981,0.933797909407665,0.98520753606123,0.906021505376344,0.846032992930086,0.993506493506493
13,2,0.967,0.997,0.955,0.969,0.982,0.982,0.913494809688581,0.989896776706593,0.873134858604519,0.825875752599891,0.972412480974125
13,3,0.955,0.996,0.946,0.951,0.992,0.981,0.909722222222222,0.9859375,0.872767857142857,0.827611940298507,0.964250248262165
13,4,0.948,1,0.964,0.928,0.99,0.984,0.909407665505226,0.992248062015504,0.862652329749104,0.761278195488722,0.988616352201258
13,5,0.976,0.999,0.978,0.972,0.998,0.992,0.926573426573427,0.977443609022556,0.934576271186441,0.835099959747753,0.977052524222336
14,1,0.967,0.993,0.954,0.965,0.996,0.984,0.916955017301038,0.975843297365607,0.917972497601535,0.800826848249027,0.975802499387405
14,2,0.959,0.994,0.957,0.94,1,0.983,0.923076923076923,0.98518737964746,0.896631306178638,0.807862679955703,0.991040100250627
14,3,0.956,0.994,0.94,0.967,0.965,0.973,0.905923344947735,0.98520753606123,0.87131872914551,0.824732824427481,0.960562015503876
14,4,0.957,0.996,0.954,0.934,0.988,0.979,0.905923344947735,0.981991941823899,0.885448028673835,0.837056400506971,0.947061835872487
14,5,0.967,0.989,0.988,0.933,0.989,0.984,0.944444444444444,0.992248062015504,0.911123117444452,0.915441176470588,0.991062562065541
15,1,0.966,0.993,0.95,0.973,0.986,0.981,0.923611111111111,0.985227438935205,0.874485040859053,0.889624484480139,0.986291079812207
15,2,0.973,0.994,0.99,0.948,0.994,0.989,0.944250871080139,0.988549618320611,0.940205627705628,0.847490347490347,0.990697674418605
15,3,0.964,0.994,0.971,0.949,0.992,0.985,0.920138888888889,0.978206815854907,0.903868113045961,0.862225789192081,0.964250248262165
15,4,0.941,0.988,0.956,0.903,0.987,0.973,0.909722222222222,0.988461538461539,0.873037396517271,0.800746268656716,0.973187686196624
15,5,0.959,0.994,0.962,0.952,0.988,0.982,0.881118881118881,0.95656242304851,0.84418202764977,0.783435278558439,0.976653439153439
16,1,0.971,0.999,0.963,0.966,0.995,0.987,0.902777777777778,0.979730061349693,0.862497467414061,0.822889733840304,0.969786460699682
16,2,0.97,0.998,0.975,0.952,0.997,0.989,0.947916666666667,0.985227438935205,0.927577529420472,0.90530303030303,0.988704071499503
16,3,0.937,0.988,0.957,0.887,0.989,0.973,0.888501742160279,0.974046920821114,0.865959306946431,0.736182336182336,0.977096815124984
16,4,0.947,0.999,0.965,0.914,0.982,0.98,0.912891986062718,0.989083505053479,0.867437591776799,0.780916030534351,0.992990654205608
16,5,0.96,0.994,0.963,0.952,0.98,0.981,0.898954703832753,0.977710902329223,0.890164576802508,0.81265664160401,0.940338164251208
17,1,0.962,0.996,0.961,0.957,0.987,0.983,0.912891986062718,0.989820565907522,0.876541926541927,0.795540308747856,0.977096815124984
17,2,0.978,0.999,0.975,0.979,0.994,0.991,0.9375,0.99609375,0.927032019704433,0.84031007751938,0.977140692093963
17,3,0.966,0.997,0.974,0.961,0.991,0.988,0.916083916083916,0.977443609022556,0.888649425287356,0.824674329501916,0.98616777154513
