"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance"
19,5,0.925,0.998,0.972,0.962,0.967,0.998,0.934,0.989,0.906953476738369,0.977192491195571,0.830313705754068,0.837978725450593,0.830790934414813,0.990210674097732,NA
20,1,0.92,0.998,0.978,0.96,0.96,0.998,0.929,0.988,0.905,0.980078098002626,0.76920791626674,0.836649109404527,0.813840389061628,0.989803425218051,0.492496248124062
20,2,0.921,0.996,0.973,0.958,0.961,0.999,0.924,0.987,0.901,0.96649462806257,0.791596214885349,0.838974376868232,0.851565539523318,0.985491806045468,NA
20,3,0.924,0.998,0.988,0.961,0.964,0.999,0.916,0.988,0.905452726363182,0.976418879170884,0.933984178804621,0.830881490846983,0.821460123294986,0.992981601834936,NA
20,4,0.93,0.998,0.986,0.964,0.97,0.999,0.925,0.99,0.904952476238119,0.972864982709367,0.829319284161231,0.836122243689026,0.834227417904431,0.991270512836826,NA
20,5,0.929,0.998,0.977,0.962,0.968,1,0.949,0.99,0.9105,0.979086338092549,0.704309188464118,0.845346097296326,0.853190373066018,0.990776207179766,NA
1,2,0.93,0.998,0.989,0.96,0.965,0.999,0.935,0.989,0.9,0.975515046920505,0.814662461721285,0.824870294041995,0.838880755413661,0.986546640563029,NA
1,3,0.925,0.998,0.981,0.963,0.96,0.998,0.92,0.988,0.902451225612806,0.980075933114879,0.843384460453947,0.827237016143169,0.79064649630721,0.992929771512532,NA
1,1,0.919,0.999,0.965,0.964,0.965,0.999,0.932,0.989,0.906953476738369,0.976056233599608,0.76364247311828,0.845939899043863,0.832809899455097,0.989292217476352,0.492492492492492
2,3,0.931,0.997,0.984,0.963,0.968,0.999,0.929,0.989,0.912543728135932,0.972442693548076,0.896986438975389,0.851776576460963,0.881107119347533,0.987614880894691,NA
1,4,0.929,0.997,0.986,0.959,0.965,0.999,0.938,0.988,0.9065,0.97246667693179,0.774010826497014,0.840432430504556,0.852787244401168,0.989075048156454,NA
1,5,0.92,0.997,0.966,0.962,0.969,1,0.92,0.989,0.9105,0.973513887278334,0.795488721804511,0.849886549200736,0.841725525936052,0.991034902490011,NA
2,1,0.921,0.997,0.967,0.962,0.97,0.999,0.935,0.989,0.906906906906907,0.96939586645469,0.781696204348138,0.845249494975995,0.853703703703704,0.988682206831982,NA
2,4,0.929,0.998,0.979,0.963,0.962,0.999,0.934,0.989,0.91,0.979168081548965,0.778225806451613,0.843560535887046,0.847608894644013,0.990388725027612,NA
2,5,0.925,0.997,0.98,0.954,0.959,0.998,0.949,0.987,0.896448224112056,0.976512862339668,0.804671159656054,0.818633984590878,0.794465983568725,0.989514943914068,NA
2,2,0.92,0.998,0.986,0.962,0.961,0.999,0.911,0.988,0.9065,0.975042077215457,0.846482412060302,0.839098149453333,0.820221949359082,0.992983560819033,0.492746373186593
3,2,0.935,0.998,0.992,0.966,0.966,0.998,0.937,0.99,0.9045,0.977615552149714,0.843385854206186,0.836314961028124,0.815362272826157,0.989516595027249,NA
3,1,0.925,0.997,0.982,0.957,0.962,0.999,0.921,0.987,0.904404404404404,0.980172483931332,0.761929506785046,0.834037240493686,0.823950404519125,0.988912742712657,0.492739108662994
3,3,0.925,0.998,0.985,0.961,0.962,0.999,0.942,0.989,0.904952476238119,0.97540863887278,0.925057372346529,0.837575786893705,0.825672852402605,0.98786472527682,NA
3,4,0.925,0.998,0.978,0.963,0.967,0.999,0.927,0.989,0.902048975512244,0.973781466441182,0.796233048719237,0.830676654246106,0.830810664265911,0.989518243460051,NA
3,5,0.919,0.997,0.97,0.96,0.966,0.999,0.932,0.988,0.909,0.970937482591201,0.695238095238095,0.844639376218324,0.846969696969697,0.994451337156758,NA
15,1,0.914,0.998,0.965,0.958,0.965,0.999,0.938,0.988,0.902951475737869,0.977009584554238,0.781698221457258,0.832740744324045,0.814061950017599,0.989710148599516,NA
4,1,0.913,0.997,0.967,0.959,0.963,0.998,0.915,0.987,0.905452726363182,0.970478666150004,0.745484194681385,0.838132437169018,0.85453311208327,0.99004795577624,NA
10,4,0.932,0.998,0.987,0.959,0.964,0.999,0.941,0.988,0.899,0.972044095085415,0.763392107472712,0.827258673095064,0.819838896599087,0.989330797127514,NA
4,5,0.927,0.998,0.986,0.961,0.962,0.999,0.922,0.989,0.901950975487744,0.974810342008331,0.796480643539467,0.835721102426985,0.817685384600186,0.986544649530638,NA
4,3,0.928,0.997,0.98,0.962,0.96,0.999,0.937,0.988,0.9065,0.977850483088927,0.763643996641478,0.842715135355523,0.81635365977906,0.990454766730408,NA
4,2,0.922,0.998,0.971,0.962,0.963,1,0.939,0.989,0.902,0.975042077215457,0.746975806451613,0.832505088249835,0.834874927283304,0.988440591659606,NA
10,2,0.919,0.997,0.983,0.96,0.958,0.999,0.916,0.988,0.905952976488244,0.969942756231978,0.896983408748115,0.84296223316913,0.823781529164477,0.992503266354537,NA
5,5,0.938,0.996,0.996,0.961,0.974,0.999,0.934,0.989,0.9105,0.971578990244598,0.996489468405216,0.847602089611057,0.859412219146334,0.990801629673336,0.492496248124062
6,3,0.921,0.998,0.983,0.964,0.967,0.999,0.907,0.989,0.91,0.978090075988612,0.796977329974811,0.846448992468157,0.83282061799289,0.99185903515979,NA
5,3,0.912,0.997,0.969,0.961,0.963,1,0.901,0.988,0.903403403403403,0.970488009984092,0.88562091503268,0.835277142325942,0.839921792849632,0.988912742712657,NA
5,1,0.928,0.997,0.983,0.96,0.959,0.999,0.931,0.988,0.9005,0.97342799188641,0.761932306962119,0.828842172320433,0.824123633622314,0.990213290303031,NA
4,4,0.929,0.998,0.981,0.962,0.975,0.999,0.928,0.989,0.914,0.979829576097508,0.946984924623116,0.844768275203058,0.84578410471997,0.993391825443326,0.492746373186593
7,4,0.922,0.997,0.963,0.962,0.964,0.999,0.933,0.988,0.902402402402402,0.966852146263911,0.791593669269828,0.839934794146637,0.836006138872565,0.989097433943089,0.492739108662994
7,3,0.922,0.998,0.981,0.959,0.959,0.998,0.943,0.988,0.9045,0.976593679214756,0.796231155778894,0.833154224955908,0.816886427979291,0.993151808631685,NA
6,1,0.927,0.998,0.987,0.959,0.964,0.999,0.934,0.988,0.903451725862931,0.974650281591446,0.769206145966709,0.831473727422003,0.827900505823065,0.990775542419632,NA
7,1,0.924,0.998,0.977,0.963,0.968,1,0.926,0.989,0.9095,0.971162377994676,0.781700236542183,0.844112376511739,0.873072865952613,0.989976449419174,NA
5,2,0.919,0.999,0.978,0.961,0.958,0.999,0.939,0.988,0.908454227113557,0.978925685738239,0.723248582403512,0.842041955818563,0.841290811519397,0.989292217476352,NA
7,2,0.928,0.999,0.978,0.963,0.966,0.999,0.939,0.989,0.903548225887057,0.98263220479442,0.745981918633852,0.837071219025828,0.811683168316832,0.984873612453643,NA
6,2,0.921,0.998,0.97,0.965,0.962,1,0.924,0.989,0.911,0.97631095225664,0.846733668341709,0.848238752552025,0.837259316201772,0.990623782171843,NA
5,4,0.924,0.998,0.971,0.963,0.967,0.999,0.927,0.989,0.909045477261369,0.978336827393431,0.830065359477124,0.844044720160792,0.827578975416712,0.990168438518569,NA
6,4,0.93,0.996,0.981,0.956,0.959,0.998,0.95,0.987,0.9,0.970507085824171,0.788145539906103,0.834110214380646,0.838517455108924,0.985291119423561,NA
8,1,0.92,0.998,0.975,0.958,0.965,0.999,0.942,0.988,0.9035,0.974162334516147,0.788397048960429,0.838974376868232,0.819838896599087,0.988238199415551,NA
6,5,0.917,0.999,0.971,0.961,0.968,1,0.919,0.989,0.903451725862931,0.978995728897381,0.796480643539467,0.827508759746204,0.832755733712198,0.98939092555285,0.492492492492492
7,5,0.93,0.997,0.995,0.959,0.962,0.999,0.917,0.988,0.903451725862931,0.977009584554238,0.829815745393635,0.832015426048987,0.806448163256789,0.99227106180612,NA
10,5,0.908,0.999,0.947,0.963,0.968,0.998,0.928,0.989,0.903951975987994,0.97907253192537,0.704307163227646,0.831811560150376,0.82208995399013,0.992091715130136,NA
13,3,0.922,0.998,0.986,0.957,0.963,0.999,0.93,0.988,0.9005,0.975887451843698,0.702352347898312,0.826076447158746,0.827430217461863,0.990623782171843,NA
12,1,0.918,0.997,0.968,0.962,0.964,1,0.922,0.988,0.906046976511744,0.971165812296483,0.829568273092369,0.838823272090989,0.849261603375527,0.990989270680579,0.4925
13,4,0.919,0.997,0.971,0.96,0.966,0.999,0.921,0.988,0.902,0.969661359126344,0.829817512137954,0.837378560951385,0.817275977395918,0.989744224186882,0.992746373186593
8,2,0.922,0.997,0.962,0.965,0.963,0.999,0.934,0.989,0.905905905905906,0.976113846445694,0.710016502834182,0.843651848713716,0.813002565027652,0.990570319997545,NA
11,5,0.926,0.997,0.977,0.963,0.965,1,0.938,0.989,0.90990990990991,0.976982412168878,0.895985950827898,0.846277405173871,0.834155912761301,0.990128046043773,NA
8,5,0.932,0.999,0.985,0.965,0.963,0.998,0.935,0.989,0.907453726863432,0.98191576644332,0.796229260935143,0.839639724310777,0.824348277415438,0.988330018108135,NA
10,3,0.932,0.998,0.984,0.962,0.966,1,0.954,0.989,0.9105,0.977189942298454,0.76920791626674,0.839592234285064,0.862081635690499,0.990396114669281,NA
9,2,0.924,0.997,0.988,0.953,0.96,0.999,0.932,0.986,0.9004004004004,0.971364608859314,0.774007038712921,0.833278874366498,0.819708994708995,0.98739923034681,0.99298948422634
8,4,0.926,0.998,0.979,0.96,0.967,0.999,0.924,0.988,0.906,0.970292777412719,0.788397048960429,0.835885579675705,0.869934808332031,0.991034902490011,NA
8,3,0.919,0.997,0.97,0.961,0.97,1,0.915,0.989,0.908045977011494,0.976775900430795,0.853130821034532,0.837906178236712,0.841654574200814,0.991867523317113,0.742996498249125
9,1,0.925,0.996,0.971,0.961,0.966,0.998,0.937,0.988,0.905952976488244,0.969622527882316,0.871980372420735,0.845597576468289,0.849250884564352,0.986762545834962,NA
13,5,0.934,0.998,0.986,0.961,0.97,0.999,0.94,0.989,0.900851276915373,0.969851464672766,0.82981220657277,0.83076003044471,0.81430584918957,0.992326417727515,NA
14,1,0.922,0.998,0.965,0.961,0.966,0.999,0.94,0.989,0.904952476238119,0.980308558436637,0.727244558060268,0.837308751112239,0.832517814479024,0.986331276696725,NA
10,1,0.925,0.997,0.987,0.962,0.964,0.999,0.902,0.988,0.9045,0.970507085824171,0.947236180904523,0.844639376218324,0.822100219500623,0.987629413213973,0.492496248124062
9,4,0.922,0.998,0.971,0.964,0.967,0.999,0.935,0.99,0.909545227386307,0.979921630094044,0.829323308270677,0.843843624406284,0.824882157699495,0.990632337077226,NA
9,5,0.924,0.999,0.985,0.96,0.96,0.999,0.923,0.988,0.899949974987494,0.976835320462386,0.746725440806045,0.827498148909914,0.793368574983878,0.993150496287116,0.492742742742743
9,3,0.935,0.998,0.985,0.965,0.97,0.999,0.938,0.99,0.910044977511244,0.97396873904544,0.87049323985979,0.841177787729512,0.877018008169841,0.991448293358421,NA
16,5,0.924,0.999,0.964,0.966,0.96,0.999,0.945,0.989,0.907953976988494,0.979805147813313,0.773757677275265,0.844679669772607,0.842415419413831,0.984037214207213,NA
15,4,0.927,0.998,0.981,0.964,0.969,1,0.927,0.989,0.906453226613307,0.972205468977179,0.746229260935143,0.84012910761072,0.862388964056709,0.99034789203074,NA
11,1,0.93,0.998,0.993,0.96,0.963,0.999,0.923,0.988,0.907546226886557,0.975699450424125,0.818660579480912,0.846615426323314,0.827578975416712,0.98875283984442,0.4925
