"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
19,5,0.837,0.99,0.92,0.935,0.951,0.997,0.898,0.648,0.977,0.866332916145181,0.944934290888732,0.742693373645755,0.794481022853116,0.831060401804257,0.983649909979361,0.488983475212819,NA
20,2,0.866,0.992,0.929,0.931,0.962,0.995,0.91,0.917,0.978,0.862975951903808,0.951345553951417,0.777921424980249,0.77821353634556,0.833766713338359,0.980326750261119,0.98910047607116,NA
20,3,0.846,0.992,0.915,0.934,0.955,0.996,0.895,0.75,0.977,0.866366366366366,0.955544676061276,0.754483378256963,0.788808169786604,0.808623844375963,0.983331014471603,NA,NA
20,1,0.867,0.992,0.912,0.936,0.953,0.997,0.924,0.931,0.979,0.862759829701979,0.948531688011087,0.691955756661639,0.782474447329354,0.832191480017567,0.982673186233558,0.989103206412826,NA
20,4,0.817,0.992,0.919,0.931,0.938,0.996,0.91,0.659,0.976,0.854531797696545,0.948223233801572,0.702727573651109,0.775904380443766,0.78292453385095,0.979111421664576,0.488980716253444,NA
20,5,0.862,0.991,0.927,0.93,0.954,0.998,0.905,0.893,0.977,0.86558197747184,0.950619024919891,0.767452830188679,0.785927252832163,0.819923114503521,0.983719110750116,NA,NA
2,4,0.855,0.991,0.923,0.933,0.955,0.995,0.92,0.846,0.977,0.866733466933868,0.95263425979318,0.805569556451613,0.78438826408898,0.823282811036935,0.984800333517862,NA,NA
2,3,0.839,0.992,0.93,0.936,0.95,0.995,0.909,0.704,0.977,0.865013774104683,0.951840076419052,0.730542368004604,0.78999548886126,0.817542043491515,0.981524666398415,NA,NA
1,3,0.851,0.991,0.913,0.932,0.959,0.998,0.923,0.748,0.978,0.863761582769847,0.946190455471833,0.81610989466209,0.782208557377828,0.833640122955128,0.983709653018809,NA,NA
1,4,0.864,0.994,0.928,0.93,0.948,0.995,0.917,0.913,0.977,0.859324155193993,0.955445824422047,0.758752093802345,0.777089426806052,0.806312482876804,0.976531602413512,0.989108662994492,NA
1,1,0.86,0.992,0.95,0.934,0.957,0.995,0.901,0.879,0.978,0.862543815723585,0.945535526686145,0.788279318868443,0.781149739631535,0.851897654584222,0.982444688623741,0.989105935386927,NA
1,2,0.807,0.991,0.868,0.933,0.952,0.997,0.902,0.559,0.976,0.866833541927409,0.950722550875784,0.676287991104522,0.791711579523853,0.821409574468085,0.984166905219537,NA,NA
1,5,0.85,0.992,0.946,0.933,0.95,0.997,0.917,0.862,0.978,0.865013774104683,0.95044092249648,0.764691109994977,0.787923330951229,0.804688666816762,0.983651499198354,0.989103206412826,NA
2,1,0.85,0.992,0.925,0.936,0.953,0.998,0.906,0.891,0.978,0.866116116116116,0.951591050045322,0.732697053638882,0.787466364205257,0.83050673111901,0.983245052126896,0.988986232790989,NA
2,5,0.82,0.991,0.914,0.923,0.95,0.996,0.921,0.626,0.975,0.85374405209116,0.943655430442324,0.786572375429045,0.769528984230041,0.802082957735596,0.979650951383386,0.989103206412826,NA
3,3,0.847,0.993,0.924,0.937,0.96,0.997,0.904,0.879,0.979,0.86433041301627,0.951126428864132,0.710833438049761,0.782684669799849,0.849680187386396,0.981347093416059,NA,NA
3,1,0.847,0.991,0.912,0.934,0.958,0.997,0.901,0.748,0.978,0.868085106382979,0.952191174816478,0.798137904059453,0.790336633059646,0.833651064527618,0.982027077037448,0.989108662994492,NA
3,4,0.874,0.993,0.922,0.93,0.948,0.997,0.914,0.952,0.977,0.862327909887359,0.954465217277723,0.767452830188679,0.78054503141082,0.811933069132541,0.980334329988365,NA,NA
2,2,0.858,0.993,0.911,0.937,0.956,0.998,0.905,0.873,0.979,0.867867867867868,0.95302535923816,0.686400201106083,0.792922432358839,0.841504768311863,0.980264545481937,NA,NA
3,2,0.826,0.99,0.903,0.932,0.943,0.995,0.917,0.684,0.975,0.860540811216825,0.948301924327916,0.742817540322581,0.784568340207652,0.806585330695272,0.980896599500344,NA,NA
11,3,0.793,0.99,0.923,0.928,0.95,0.996,0.913,0.342,0.976,0.859468937875752,0.947668549809989,0.845645578986312,0.779867900024699,0.802824925325054,0.979774155903614,0.98910047607116,NA
18,4,0.836,0.991,0.925,0.935,0.954,0.997,0.898,0.675,0.977,0.861611611611612,0.947725469694546,0.714303670186023,0.780575505929002,0.808941894293991,0.986744916724043,NA,NA
17,3,0.847,0.994,0.926,0.938,0.962,0.995,0.916,0.636,0.979,0.874029551715502,0.961411742042162,0.714910068919146,0.792640795614154,0.875429988625441,0.980126992528122,NA,NA
7,2,0.867,0.992,0.935,0.935,0.959,0.996,0.918,0.889,0.978,0.865081351689612,0.950144173067133,0.679457778336265,0.784459674364,0.840237142170075,0.982849254294114,0.488983475212819,NA
4,1,0.844,0.992,0.924,0.934,0.955,0.996,0.915,0.709,0.978,0.862077596996245,0.945948163291321,0.727501256913022,0.784316540893001,0.830362063264631,0.980601674459842,NA,NA
7,1,0.86,0.991,0.911,0.93,0.951,0.997,0.912,0.922,0.977,0.86179268903355,0.945492422156614,0.86770990447461,0.784128491411428,0.817679761469381,0.981760059917119,NA,NA
4,3,0.838,0.992,0.933,0.931,0.955,0.997,0.903,0.717,0.978,0.865047571357036,0.954762839217258,0.742085427135678,0.785229807077465,0.812422798658902,0.982297603672786,0.48885549711996,NA
