"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
1,1,0.983,0.999,0.988,0.972,1,0.995,0.944636678200692,0.989890152619811,0.907698056801196,0.881412639405204,1
1,3,0.991,1,0.994,0.988,1,0.998,0.965277777777778,1,0.937777777777778,0.91866028708134,1
1,2,0.977,1,0.985,0.967,1,0.994,0.933797909407665,0.992248062015504,0.893894165535957,0.865384615384615,0.993506493506493
1,4,0.968,0.999,0.98,0.956,0.999,0.991,0.91958041958042,0.992248062015504,0.88536866359447,0.840836408364084,0.966322815533981
1,5,0.963,1,0.974,0.952,1,0.99,0.9198606271777,0.99609375,0.868654311039484,0.776670409882089,0.993589743589744
2,1,0.98,1,0.986,0.973,1,0.995,0.937282229965157,1,0.896431046431046,0.846032992930086,0.991051384385133
2,2,0.981,1,0.985,0.978,1,0.995,0.940972222222222,0.99609375,0.898947786380782,0.874358974358974,1
2,3,0.973,1,0.98,0.965,1,0.993,0.933797909407665,1,0.890202934320581,0.851014760147601,0.984632034632035
3,2,0.974,1,0.985,0.959,1,0.993,0.927335640138408,0.996124031007752,0.875032002048131,0.878515369522564,0.991148002940456
2,5,0.982,1,0.987,0.974,1,0.995,0.930313588850174,0.98904284591195,0.886486486486487,0.836947542337877,1
3,1,0.976,1,0.982,0.968,1,0.993,0.933797909407665,0.98904284591195,0.906021505376344,0.915359778597786,0.969135802469136
3,3,0.976,1,0.984,0.965,1,0.994,0.951388888888889,0.99609375,0.911992136304063,0.940563086548488,1
3,5,0.96,1,0.977,0.936,0.999,0.989,0.909407665505226,0.99609375,0.893668831168831,0.74819897084048,0.960535778496943
3,4,0.99,1,0.992,0.991,1,0.997,0.954545454545455,0.99609375,0.916289592760181,0.950231481481481,0.993506493506493
4,1,0.977,1,0.984,0.969,1,0.994,0.9375,0.99609375,0.897829647829648,0.837037037037037,1
4,3,0.959,1,0.977,0.934,1,0.99,0.898954703832753,0.996124031007752,0.87131872914551,0.7383069828722,0.941860465116279
4,2,0.977,1,0.982,0.971,0.999,0.993,0.923344947735192,0.989820565907522,0.874423337856174,0.902930402930403,0.975
4,5,0.98,1,0.988,0.966,0.999,0.994,0.944444444444444,1,0.914108313211452,0.85634328358209,0.988704071499503
8,3,0.974,0.999,0.987,0.955,0.999,0.993,0.920138888888889,0.9859375,0.893420176152764,0.812734082397004,0.975
4,4,0.974,1,0.984,0.961,1,0.993,0.930313588850174,0.992248062015504,0.893894165535957,0.887575757575758,0.981012658227848
7,4,0.977,1,0.984,0.97,0.999,0.994,0.930313588850174,1,0.889136904761905,0.846032992930086,0.978376886271623
